Time(s),Length(m),[Calcium],Force(N)
 0.000,0.290000,0.000000,0.000000
 0.001,0.290000,0.000000,0.000000
 0.002,0.290000,0.000000,0.000000
 0.003,0.290000,0.000000,0.000000
 0.004,0.290000,0.000000,0.000000
 0.005,0.290000,0.000000,0.000000
 0.006,0.290000,0.000000,0.000000
 0.007,0.290000,0.000000,0.000000
 0.008,0.290000,0.000000,0.000000
 0.009,0.290000,0.000000,0.000000
 0.010,0.290000,0.000000,0.000000
 0.011,0.290000,0.000000,0.000000
 0.012,0.290000,0.000000,0.000000
 0.013,0.290000,0.000000,0.000000
 0.014,0.290000,0.000000,0.000000
 0.015,0.290000,0.000000,0.000000
 0.016,0.290000,0.000000,0.000000
 0.017,0.290000,0.000000,0.000000
 0.018,0.290000,0.000000,0.000000
 0.019,0.290000,0.000000,0.000000
 0.020,0.290000,0.000000,0.000000
 0.021,0.290000,0.000000,0.000000
 0.022,0.290000,0.000000,0.000000
 0.023,0.290000,0.000000,0.000000
 0.024,0.290000,0.000000,0.000000
 0.025,0.290000,0.000000,0.000000
 0.026,0.290000,0.000000,0.000000
 0.027,0.290000,0.000000,0.000000
 0.028,0.290000,0.000000,0.000000
 0.029,0.290000,0.000000,0.000000
 0.030,0.290000,0.000000,0.000000
 0.031,0.290000,0.000000,0.000000
 0.032,0.290000,0.000000,0.000000
 0.033,0.290000,0.000000,0.000000
 0.034,0.290000,0.000000,0.000000
 0.035,0.290000,0.000000,0.000000
 0.036,0.290000,0.000000,0.000000
 0.037,0.290000,0.000000,0.000000
 0.038,0.290000,0.000000,0.000000
 0.039,0.290000,0.000000,0.000000
 0.040,0.290000,0.000000,0.000000
 0.041,0.290000,0.000000,0.000000
 0.042,0.290000,0.000000,0.000000
 0.043,0.290000,0.000000,0.000000
 0.044,0.290000,0.000000,0.000000
 0.045,0.290000,0.000000,0.000000
 0.046,0.290000,0.000000,0.000000
 0.047,0.290000,0.000000,0.000000
 0.048,0.290000,0.000000,0.000000
 0.049,0.290000,0.000000,0.000000
 0.050,0.290000,0.000000,0.000000
 0.051,0.290000,0.000000,0.000000
 0.052,0.290000,0.000000,0.000000
 0.053,0.290000,0.000000,0.000000
 0.054,0.290000,0.000000,0.000000
