Time(s),Length(m),[Calcium],Force(N)
 0.000,0.230000,0.000000,0.000000
 0.002,0.230000,0.000000,0.000000
 0.004,0.230000,0.000000,0.000000
 0.006,0.230000,0.000000,0.000000
 0.008,0.230000,0.000000,0.000000
 0.010,0.230000,0.000000,0.000000
 0.012,0.230000,0.000000,0.000000
 0.014,0.230000,0.000000,0.000000
 0.016,0.230000,0.000000,0.000000
 0.018,0.230000,0.000000,0.000000
 0.020,0.230000,0.000000,0.000000
 0.022,0.230000,0.000000,0.000000
 0.024,0.230000,0.000000,0.000000
 0.026,0.230000,0.000000,0.000000
 0.028,0.230000,0.000000,0.000000
 0.030,0.230000,0.000000,0.000000
 0.032,0.230000,0.000000,0.000000
 0.034,0.230000,0.000000,0.000000
 0.036,0.230000,0.000000,0.000000
 0.038,0.230000,0.000000,0.000000
 0.040,0.230000,0.000000,0.000000
 0.042,0.230000,0.000000,0.000000
 0.044,0.230000,0.000000,0.000000
 0.046,0.230000,0.000000,0.000000
 0.048,0.230000,0.000000,0.000000
 0.050,0.230000,0.000025,-0.000000
 0.052,0.230123,0.329698,3.735436
 0.054,0.230251,0.550683,7.650175
 0.056,0.230375,0.698814,11.395442
 0.058,0.230492,0.798109,14.962621
 0.060,0.230603,0.864668,18.354890
 0.062,0.230709,0.909285,21.580702
 0.064,0.230810,0.939192,24.645131
 0.066,0.230906,0.959239,27.558788
 0.068,0.230997,0.972677,30.325822
 0.070,0.231083,0.981685,32.956069
 0.072,0.231166,0.987723,35.456078
 0.074,0.231244,0.991770,37.831512
 0.076,0.231318,0.994484,40.090727
 0.078,0.231388,0.996302,42.236758
 0.080,0.231456,0.997521,44.277902
 0.082,0.231519,0.998338,46.218628
 0.084,0.231580,0.998886,48.063792
 0.086,0.231638,0.999253,49.819851
 0.088,0.231693,0.999500,51.488388
 0.090,0.231745,0.999665,53.076581
 0.092,0.231794,0.999775,54.587932
 0.094,0.231842,0.999849,56.024949
 0.096,0.231887,0.999899,57.393417
 0.098,0.231929,0.999932,58.695437
 0.100,0.231970,0.999955,59.934332
 0.102,0.232009,0.999970,61.114694
 0.104,0.232046,0.999980,62.237853
 0.106,0.232081,0.999986,63.306961
 0.108,0.232115,0.999991,64.326047
 0.110,0.232146,0.999994,65.296423
 0.112,0.232177,0.999996,66.219798
 0.114,0.232206,0.999997,67.100392
 0.116,0.232233,0.999998,67.940379
 0.118,0.232260,0.999999,68.738450
 0.120,0.232285,0.999999,69.499914
 0.122,0.232308,0.999999,70.226567
 0.124,0.232331,1.000000,70.918949
 0.126,0.232353,1.000000,71.577745
 0.128,0.232374,1.000000,72.206728
 0.130,0.232393,1.000000,72.807337
 0.132,0.232412,1.000000,73.380013
 0.134,0.232430,1.000000,73.924549
 0.136,0.232447,1.000000,74.444794
 0.138,0.232463,1.000000,74.941882
 0.140,0.232479,1.000000,75.417779
 0.142,0.232494,1.000000,75.868250
 0.144,0.232508,1.000000,76.298909
 0.146,0.232522,1.000000,76.710690
 0.148,0.232535,1.000000,77.104460
 0.150,0.232547,1.000000,77.482377
 0.152,0.232559,1.000000,77.838911
 0.154,0.232570,1.000000,78.180031
 0.156,0.232581,1.000000,78.506452
 0.158,0.232591,1.000000,78.818851
 0.160,0.232601,1.000000,79.118375
 0.162,0.232610,1.000000,79.405221
 0.164,0.232619,1.000000,79.675520
 0.166,0.232628,1.000000,79.934369
 0.168,0.232636,1.000000,80.182287
 0.170,0.232644,1.000000,80.419764
 0.172,0.232651,1.000000,80.647270
 0.174,0.232658,1.000000,80.869070
 0.176,0.232665,1.000000,81.076073
 0.178,0.232672,1.000000,81.272418
 0.180,0.232678,1.000000,81.460683
 0.182,0.232684,1.000000,81.641186
 0.184,0.232689,1.000000,81.814259
 0.186,0.232695,1.000000,81.980224
 0.188,0.232700,1.000000,82.139702
 0.190,0.232705,1.000000,82.297064
 0.192,0.232710,1.000000,82.444399
 0.194,0.232715,1.000000,82.580727
 0.196,0.232719,1.000000,82.711610
 0.198,0.232723,1.000000,82.837278
 0.200,0.232727,1.000000,82.957950
 0.202,0.232731,1.000000,83.073837
 0.204,0.232734,1.000000,83.185139
 0.206,0.232738,1.000000,83.292047
 0.208,0.232741,1.000000,83.394747
 0.210,0.232745,1.000000,83.496408
 0.212,0.232748,1.000000,83.595636
 0.214,0.232751,1.000000,83.690785
 0.216,0.232754,1.000000,83.773865
 0.218,0.232756,1.000000,83.853463
 0.220,0.232759,1.000000,83.930019
 0.222,0.232761,1.000000,84.003652
 0.224,0.232764,1.000000,84.074477
 0.226,0.232766,1.000000,84.142605
 0.228,0.232768,1.000000,84.208140
 0.230,0.232770,1.000000,84.271184
 0.232,0.232772,1.000000,84.331836
 0.234,0.232774,1.000000,84.390188
 0.236,0.232776,1.000000,84.446332
 0.238,0.232778,1.000000,84.501093
 0.240,0.232780,1.000000,84.557711
 0.242,0.232781,1.000000,84.612032
 0.244,0.232783,1.000000,84.664156
 0.246,0.232785,1.000000,84.714178
 0.248,0.232786,1.000000,84.762191
 0.250,0.232788,1.000000,84.808280
 0.252,0.232789,1.000000,84.852530
 0.254,0.232790,1.000000,84.888780
 0.256,0.232792,1.000000,84.921541
 0.258,0.232793,1.000000,84.953234
 0.260,0.232794,1.000000,84.983890
 0.262,0.232795,1.000000,85.013543
 0.264,0.232796,1.000000,85.042222
 0.266,0.232796,1.000000,85.069959
 0.268,0.232797,1.000000,85.096776
 0.270,0.232798,1.000000,85.122674
 0.272,0.232799,1.000000,85.147679
 0.274,0.232800,1.000000,85.171818
 0.276,0.232801,1.000000,85.195118
 0.278,0.232801,1.000000,85.217605
 0.280,0.232802,1.000000,85.239304
 0.282,0.232803,1.000000,85.260241
 0.284,0.232803,1.000000,85.280439
 0.286,0.232804,1.000000,85.299923
 0.288,0.232805,1.000000,85.318715
 0.290,0.232805,1.000000,85.336839
 0.292,0.232806,1.000000,85.354316
 0.294,0.232806,1.000000,85.371167
 0.296,0.232807,1.000000,85.387414
 0.298,0.232807,1.000000,85.403681
 0.300,0.232808,1.000000,85.423387
 0.302,0.232809,1.000000,85.442202
 0.304,0.232809,1.000000,85.460169
 0.306,0.232810,1.000000,85.477328
 0.308,0.232810,1.000000,85.493719
 0.310,0.232811,1.000000,85.509378
 0.312,0.232811,1.000000,85.524340
 0.314,0.232812,1.000000,85.538639
 0.316,0.232812,1.000000,85.552305
 0.318,0.232813,1.000000,85.565368
 0.320,0.232813,1.000000,85.577858
 0.322,0.232814,1.000000,85.589800
 0.324,0.232814,1.000000,85.601221
 0.326,0.232814,1.000000,85.612145
 0.328,0.232815,1.000000,85.622595
 0.330,0.232815,1.000000,85.632593
 0.332,0.232815,1.000000,85.642160
 0.334,0.232816,1.000000,85.651316
 0.336,0.232816,1.000000,85.660080
 0.338,0.232816,1.000000,85.668470
 0.340,0.232816,1.000000,85.676503
 0.342,0.232817,1.000000,85.684195
 0.344,0.232817,1.000000,85.691562
 0.346,0.232817,1.000000,85.698618
 0.348,0.232817,1.000000,85.705378
 0.350,0.232818,1.000000,85.711856
 0.352,0.232818,1.000000,85.718063
 0.354,0.232818,1.000000,85.724011
 0.356,0.232818,1.000000,85.729714
 0.358,0.232818,1.000000,85.735180
 0.360,0.232818,1.000000,85.740422
 0.362,0.232819,1.000000,85.745448
 0.364,0.232819,1.000000,85.750269
 0.366,0.232819,1.000000,85.754893
 0.368,0.232819,1.000000,85.759329
 0.370,0.232819,1.000000,85.763586
 0.372,0.232819,1.000000,85.767671
 0.374,0.232819,1.000000,85.771591
 0.376,0.232820,1.000000,85.775354
 0.378,0.232820,1.000000,85.778967
 0.380,0.232820,1.000000,85.782436
 0.382,0.232820,1.000000,85.785767
 0.384,0.232820,1.000000,85.788967
 0.386,0.232820,1.000000,85.792040
 0.388,0.232820,1.000000,85.794992
 0.390,0.232820,1.000000,85.797829
 0.392,0.232820,1.000000,85.800555
 0.394,0.232821,1.000000,85.803175
 0.396,0.232821,1.000000,85.805693
 0.398,0.232821,1.000000,85.808114
 0.400,0.232821,1.000000,85.816970
 0.402,0.232965,1.000000,88.211979
 0.404,0.233103,1.000000,90.424514
 0.406,0.233235,1.000000,92.464958
 0.408,0.233362,1.000000,94.341300
 0.410,0.233484,1.000000,96.061428
 0.412,0.233601,1.000000,97.634460
 0.414,0.233713,1.000000,99.066892
 0.416,0.233821,1.000000,100.364988
 0.418,0.233925,1.000000,101.536720
 0.420,0.234025,1.000000,102.588322
 0.422,0.234121,1.000000,103.526045
 0.424,0.234213,1.000000,104.355699
 0.426,0.234302,1.000000,105.082686
 0.428,0.234388,1.000000,105.712754
 0.430,0.234471,1.000000,106.251841
 0.432,0.234551,1.000000,106.706627
 0.434,0.234629,1.000000,107.080165
 0.436,0.234704,1.000000,107.377866
 0.438,0.234777,1.000000,107.605306
 0.440,0.234847,1.000000,107.766998
 0.442,0.234916,1.000000,107.867918
 0.444,0.234982,1.000000,107.914542
 0.446,0.235047,1.000000,107.906751
 0.448,0.235111,1.000000,107.854803
 0.450,0.235173,1.000000,107.759123
 0.452,0.235234,1.000000,107.627605
 0.454,0.235294,1.000000,107.461757
 0.456,0.235352,1.000000,107.266930
 0.458,0.235410,1.000000,107.045351
 0.460,0.235468,1.000000,106.804580
 0.462,0.235524,1.000000,106.541506
 0.464,0.235580,1.000000,106.264817
 0.466,0.235636,1.000000,105.976256
 0.468,0.235691,1.000000,105.676335
 0.470,0.235747,1.000000,105.372310
 0.472,0.235802,1.000000,105.065933
 0.474,0.235857,1.000000,104.755960
 0.476,0.235912,1.000000,104.447252
 0.478,0.235967,1.000000,104.140970
 0.480,0.236022,1.000000,103.828654
 0.482,0.236078,1.000000,103.543107
 0.484,0.236133,1.000000,103.250738
 0.486,0.236189,1.000000,102.969925
 0.488,0.236246,1.000000,102.701172
 0.490,0.236302,1.000000,102.427594
 0.492,0.236358,1.000000,102.159840
 0.494,0.236415,1.000000,101.906361
 0.496,0.236473,1.000000,101.667167
 0.498,0.236530,1.000000,101.442194
 0.500,0.236589,1.000000,101.231310
 0.502,0.236647,1.000000,101.034324
 0.504,0.236707,1.000000,100.850991
 0.506,0.236766,1.000000,100.681031
 0.508,0.236826,1.000000,100.524111
 0.510,0.236887,1.000000,100.379889
 0.512,0.236948,1.000000,100.247970
 0.514,0.237009,1.000000,100.127971
 0.516,0.237070,1.000000,100.003290
 0.518,0.237132,1.000000,99.893449
 0.520,0.237194,1.000000,99.808112
 0.522,0.237257,1.000000,99.732739
 0.524,0.237320,1.000000,99.666896
 0.526,0.237383,1.000000,99.610172
 0.528,0.237447,1.000000,99.562156
 0.530,0.237511,1.000000,99.522439
 0.532,0.237575,1.000000,99.490602
 0.534,0.237639,1.000000,99.442923
 0.536,0.237703,1.000000,99.405163
 0.538,0.237768,1.000000,99.396703
 0.540,0.237833,1.000000,99.394288
 0.542,0.237898,1.000000,99.397574
 0.544,0.237964,1.000000,99.406227
 0.546,0.238029,1.000000,99.419926
 0.548,0.238095,1.000000,99.438358
 0.550,0.238161,1.000000,99.461222
 0.552,0.238227,1.000000,99.488230
 0.554,0.238293,1.000000,99.519103
 0.556,0.238359,1.000000,99.538716
 0.558,0.238425,1.000000,99.552870
 0.560,0.238491,1.000000,99.588049
 0.562,0.238558,1.000000,99.633935
 0.564,0.238625,1.000000,99.682239
