Time(s),Length(m),Activation,Force(N)
 0.000,  0.230,0.010,   1.029
 0.002,  0.230,0.010,   1.029
 0.004,  0.230,0.010,   1.029
 0.006,  0.230,0.010,   1.029
 0.008,  0.230,0.010,   1.029
 0.010,  0.230,0.010,   1.029
 0.012,  0.230,0.010,   1.029
 0.014,  0.230,0.010,   1.029
 0.016,  0.230,0.010,   1.029
 0.018,  0.230,0.010,   1.029
 0.020,  0.230,0.010,   1.029
 0.022,  0.230,0.010,   1.029
 0.024,  0.230,0.010,   1.029
 0.026,  0.230,0.010,   1.029
 0.028,  0.230,0.010,   1.029
 0.030,  0.230,0.010,   1.029
 0.032,  0.230,0.010,   1.029
 0.034,  0.230,0.010,   1.029
 0.036,  0.230,0.010,   1.029
 0.038,  0.230,0.010,   1.029
 0.040,  0.230,0.010,   1.029
 0.042,  0.230,0.010,   1.029
 0.044,  0.230,0.010,   1.029
 0.046,  0.230,0.010,   1.029
 0.048,  0.230,0.010,   1.029
 0.050,  0.230,0.010,   1.029
 0.052,  0.230,0.017,   1.405
 0.054,  0.230,0.036,   2.510
 0.056,  0.230,0.064,   4.067
 0.058,  0.230,0.098,   5.942
 0.060,  0.230,0.137,   8.054
 0.062,  0.230,0.178,  10.350
 0.064,  0.230,0.220,  12.786
 0.066,  0.230,0.263,  15.329
 0.068,  0.230,0.306,  17.949
 0.070,  0.230,0.348,  20.618
 0.072,  0.230,0.389,  23.315
 0.074,  0.230,0.428,  26.018
 0.076,  0.230,0.466,  28.708
 0.078,  0.230,0.502,  31.369
 0.080,  0.230,0.536,  33.988
 0.082,  0.230,0.568,  36.552
 0.084,  0.230,0.599,  39.051
 0.086,  0.230,0.627,  41.476
 0.088,  0.230,0.654,  43.821
 0.090,  0.230,0.679,  46.080
 0.092,  0.230,0.702,  48.249
 0.094,  0.230,0.724,  50.327
 0.096,  0.230,0.745,  52.310
 0.098,  0.230,0.764,  54.200
 0.100,  0.230,0.781,  55.996
 0.102,  0.230,0.797,  57.698
 0.104,  0.230,0.813,  59.310
 0.106,  0.230,0.827,  60.832
 0.108,  0.230,0.840,  62.267
 0.110,  0.230,0.852,  63.619
 0.112,  0.230,0.863,  64.890
 0.114,  0.230,0.874,  66.083
 0.116,  0.230,0.883,  67.201
 0.118,  0.230,0.892,  68.249
 0.120,  0.230,0.900,  69.230
 0.122,  0.230,0.908,  70.146
 0.124,  0.230,0.915,  71.002
 0.126,  0.230,0.921,  71.800
 0.128,  0.230,0.927,  72.545
 0.130,  0.230,0.933,  73.238
 0.132,  0.230,0.938,  73.884
 0.134,  0.230,0.943,  74.484
 0.136,  0.230,0.947,  75.043
 0.138,  0.230,0.951,  75.562
 0.140,  0.230,0.955,  76.044
 0.142,  0.230,0.958,  76.492
 0.144,  0.230,0.962,  76.907
 0.146,  0.230,0.965,  77.292
 0.148,  0.230,0.967,  77.650
 0.150,  0.230,0.970,  77.981
 0.152,  0.230,0.972,  78.288
 0.154,  0.230,0.974,  78.573
 0.156,  0.230,0.976,  78.836
 0.158,  0.230,0.978,  79.080
 0.160,  0.230,0.980,  79.306
 0.162,  0.230,0.981,  79.515
 0.164,  0.230,0.983,  79.708
 0.166,  0.230,0.984,  79.887
 0.168,  0.230,0.985,  80.053
 0.170,  0.230,0.986,  80.206
 0.172,  0.230,0.987,  80.347
 0.174,  0.230,0.988,  80.478
 0.176,  0.230,0.989,  80.599
 0.178,  0.230,0.990,  80.711
 0.180,  0.230,0.991,  80.815
 0.182,  0.230,0.992,  80.910
 0.184,  0.230,0.992,  80.999
 0.186,  0.230,0.993,  81.080
 0.188,  0.230,0.993,  81.156
 0.190,  0.230,0.994,  81.225
 0.192,  0.230,0.994,  81.290
 0.194,  0.230,0.995,  81.349
 0.196,  0.230,0.995,  81.404
 0.198,  0.230,0.996,  81.455
 0.200,  0.230,0.996,  81.502
 0.202,  0.230,0.996,  81.545
 0.204,  0.230,0.997,  81.585
 0.206,  0.230,0.997,  81.622
 0.208,  0.230,0.997,  81.656
 0.210,  0.230,0.997,  81.687
 0.212,  0.230,0.997,  81.716
 0.214,  0.230,0.998,  81.743
