Time(s),Length(m),Activation,Force(N)
 0.000,  0.260,0.010,   5.428
 0.001,  0.260,0.010,   5.428
 0.003,  0.260,0.010,   5.428
 0.004,  0.260,0.010,   5.428
 0.006,  0.260,0.010,   5.428
 0.007,  0.260,0.010,   5.428
 0.008,  0.260,0.010,   5.428
 0.010,  0.260,0.010,   5.428
 0.011,  0.260,0.010,   5.428
 0.013,  0.260,0.010,   5.428
 0.014,  0.260,0.010,   5.428
 0.015,  0.260,0.010,   5.428
 0.017,  0.260,0.010,   5.428
 0.018,  0.260,0.010,   5.428
 0.020,  0.260,0.010,   5.428
 0.021,  0.260,0.010,   5.428
 0.022,  0.260,0.010,   5.428
 0.024,  0.260,0.010,   5.428
 0.025,  0.260,0.010,   5.428
 0.027,  0.260,0.010,   5.428
 0.028,  0.260,0.010,   5.428
 0.029,  0.260,0.010,   5.428
 0.031,  0.260,0.010,   5.428
 0.032,  0.260,0.010,   5.428
 0.034,  0.260,0.010,   5.428
 0.035,  0.260,0.010,   5.428
 0.036,  0.260,0.010,   5.428
 0.038,  0.260,0.010,   5.428
 0.039,  0.260,0.010,   5.428
 0.041,  0.260,0.010,   5.428
 0.042,  0.260,0.010,   5.428
 0.043,  0.260,0.010,   5.428
 0.045,  0.260,0.010,   5.428
 0.046,  0.260,0.010,   5.428
 0.048,  0.260,0.010,   5.428
 0.049,  0.260,0.010,   5.428
 0.050,  0.260,0.010,   5.432
 0.052,  0.260,0.016,   5.699
 0.053,  0.260,0.027,   6.423
 0.055,  0.260,0.044,   7.467
 0.056,  0.260,0.064,   8.734
 0.057,  0.260,0.088,  10.172
 0.059,  0.260,0.113,  11.752
 0.060,  0.260,0.141,  13.457
 0.062,  0.260,0.169,  15.274
 0.063,  0.260,0.199,  17.192
 0.064,  0.260,0.229,  19.205
 0.066,  0.260,0.259,  21.306
 0.067,  0.260,0.289,  23.489
 0.069,  0.260,0.319,  25.749
 0.070,  0.260,0.348,  28.081
 0.071,  0.260,0.377,  30.479
 0.073,  0.260,0.405,  32.940
 0.074,  0.260,0.432,  35.458
 0.076,  0.260,0.458,  38.028
 0.077,  0.260,0.484,  40.646
 0.078,  0.260,0.509,  43.306
 0.080,  0.260,0.533,  46.005
 0.081,  0.260,0.555,  48.737
 0.083,  0.260,0.577,  51.497
 0.084,  0.260,0.599,  54.281
 0.085,  0.260,0.619,  57.083
 0.087,  0.260,0.638,  59.900
 0.088,  0.260,0.656,  62.726
 0.090,  0.260,0.674,  65.557
 0.091,  0.260,0.691,  68.389
 0.092,  0.260,0.707,  71.216
 0.094,  0.260,0.722,  74.036
 0.095,  0.260,0.737,  76.845
 0.097,  0.260,0.750,  79.637
 0.098,  0.260,0.764,  82.411
 0.099,  0.260,0.776,  85.162
 0.101,  0.260,0.788,  87.887
 0.102,  0.260,0.799,  90.584
 0.104,  0.260,0.810,  93.249
 0.105,  0.260,0.820,  95.880
 0.106,  0.260,0.829,  98.474
 0.108,  0.260,0.839, 101.029
 0.109,  0.260,0.847, 103.544
 0.111,  0.260,0.855, 106.016
 0.112,  0.260,0.863, 108.444
 0.113,  0.260,0.871, 110.826
 0.115,  0.260,0.877, 113.162
 0.116,  0.260,0.884, 115.450
 0.118,  0.260,0.890, 117.689
 0.119,  0.260,0.896, 119.878
 0.120,  0.260,0.902, 122.018
 0.122,  0.260,0.907, 124.107
 0.123,  0.260,0.912, 126.145
 0.125,  0.260,0.917, 128.133
 0.126,  0.260,0.921, 130.069
 0.127,  0.260,0.926, 131.954
 0.129,  0.260,0.930, 133.789
 0.130,  0.260,0.933, 135.573
 0.132,  0.260,0.937, 137.308
 0.133,  0.260,0.941, 138.992
 0.134,  0.260,0.944, 140.628
 0.136,  0.260,0.947, 142.214
 0.137,  0.260,0.950, 143.753
 0.139,  0.260,0.952, 145.245
 0.140,  0.260,0.955, 146.690
 0.141,  0.260,0.957, 148.090
 0.143,  0.260,0.960, 149.445
 0.144,  0.260,0.962, 150.756
 0.146,  0.260,0.964, 152.023
 0.147,  0.260,0.966, 153.249
 0.148,  0.260,0.968, 154.433
 0.150,  0.260,0.970, 155.577
 0.151,  0.260,0.971, 156.682
 0.153,  0.260,0.973, 157.748
 0.154,  0.260,0.974, 158.777
 0.155,  0.260,0.976, 159.770
 0.157,  0.260,0.977, 160.727
 0.158,  0.260,0.978, 161.649
 0.160,  0.260,0.979, 162.539
 0.161,  0.260,0.981, 163.395
 0.162,  0.260,0.982, 164.220
 0.164,  0.260,0.983, 165.015
 0.165,  0.260,0.984, 165.779
 0.167,  0.260,0.984, 166.515
 0.168,  0.260,0.985, 167.223
 0.169,  0.260,0.986, 167.904
 0.171,  0.260,0.987, 168.559
 0.172,  0.260,0.988, 169.189
 0.174,  0.260,0.988, 169.794
 0.175,  0.260,0.989, 170.376
 0.176,  0.260,0.989, 170.934
 0.178,  0.260,0.990, 171.471
 0.179,  0.260,0.991, 171.987
 0.181,  0.260,0.991, 172.482
 0.182,  0.260,0.992, 172.957
 0.183,  0.260,0.992, 173.413
 0.185,  0.260,0.992, 173.851
 0.186,  0.260,0.993, 174.271
 0.188,  0.260,0.993, 174.674
 0.189,  0.260,0.994, 175.060
 0.190,  0.260,0.994, 175.431
 0.192,  0.260,0.994, 175.786
 0.193,  0.260,0.995, 176.127
 0.195,  0.260,0.995, 176.454
 0.196,  0.260,0.995, 176.767
 0.197,  0.260,0.995, 177.067
 0.199,  0.260,0.996, 177.354
 0.200,  0.260,0.996, 177.630
 0.202,  0.260,0.996, 177.893
 0.203,  0.260,0.996, 178.146
 0.204,  0.260,0.997, 178.388
 0.206,  0.260,0.997, 178.620
 0.207,  0.260,0.997, 178.842
 0.209,  0.260,0.997, 179.054
 0.210,  0.260,0.997, 179.257
 0.211,  0.260,0.997, 179.452
 0.213,  0.260,0.998, 179.638
 0.214,  0.260,0.998, 179.817
 0.216,  0.260,0.998, 179.987
 0.217,  0.260,0.998, 180.150
 0.218,  0.260,0.998, 180.306
 0.220,  0.260,0.998, 180.456
 0.221,  0.260,0.998, 180.598
 0.223,  0.260,0.998, 180.735
 0.224,  0.260,0.998, 180.866
 0.225,  0.260,0.999, 180.991
 0.227,  0.260,0.999, 181.110
 0.228,  0.260,0.999, 181.224
