Time(s),LANK(m),LTOE(m)
0,0.091051,0.063026
0.008333333,0.091039,0.063019
0.016666667,0.091038,0.063015
0.025,0.091056,0.062955
0.033333333,0.091124,0.063034
0.041666667,0.091132,0.063028
0.05,0.091146,0.063036
0.058333333,0.090989,0.063231
0.066666667,0.091028,0.063214
0.075,0.090901,0.063006
0.083333333,0.090754,0.063045
0.091666667,0.090845,0.062983
0.1,0.090727,0.063223
0.108333333,0.090665,0.063212
0.116666667,0.090595,0.063203
0.125,0.09055,0.063196
0.133333333,0.090325,0.063206
0.141666667,0.090306,0.063182
0.15,0.090298,0.063123
0.158333333,0.090127,0.062942
0.166666667,0.08999,0.062933
0.175,0.089856,0.063117
0.183333333,0.08978,0.06311
0.191666667,0.089683,0.063098
0.2,0.089363,0.063097
0.208333333,0.089286,0.063098
0.216666667,0.089003,0.063081
0.225,0.088721,0.063067
0.233333333,0.088473,0.063068
0.241666667,0.088376,0.062863
0.25,0.088068,0.06286
0.258333333,0.087813,0.063038
0.266666667,0.087713,0.063014
0.275,0.087621,0.062988
0.283333333,0.087317,0.062794
0.291666667,0.087055,0.062774
0.3,0.086768,0.062938
0.308333333,0.08669,0.062924
0.316666667,0.086412,0.062971
0.325,0.086148,0.062711
0.333333333,0.086076,0.062704
0.341666667,0.085803,0.062909
0.35,0.085574,0.062902
0.358333333,0.085336,0.06288
0.366666667,0.085274,0.062621
0.375,0.084979,0.062597
0.383333333,0.084855,0.06283
0.391666667,0.084772,0.062801
0.4,0.084653,0.062581
0.408333333,0.084595,0.062576
0.416666667,0.084453,0.062546
0.425,0.08427,0.062509
0.433333333,0.084276,0.062667
0.441666667,0.084048,0.062462
0.45,0.084007,0.062436
0.458333333,0.083968,0.062403
0.466666667,0.083881,0.062574
0.475,0.083772,0.062534
0.483333333,0.083643,0.062345
0.491666667,0.083491,0.062317
0.5,0.083555,0.062304
0.508333333,0.083412,0.062293
0.516666667,0.083468,0.062271
0.525,0.083245,0.062253
0.533333333,0.083225,0.062242
0.541666667,0.083188,0.062216
0.55,0.083148,0.062206
0.558333333,0.083108,0.062192
0.566666667,0.082985,0.062189
