Frame,KNEX,KNEY,ANKX,ANKY,HEEX,HEEY,TOEX,TOEY
0,0.2604,0.4508,0.2409,0.0910,0.1817,0.0347,0.3292,0.0630
1,0.2618,0.4508,0.2410,0.0910,0.1817,0.0347,0.3292,0.0630
2,0.2631,0.4507,0.2411,0.0911,0.1817,0.0347,0.3292,0.0630
3,0.2644,0.4507,0.2412,0.0911,0.1817,0.0347,0.3292,0.0630
4,0.2658,0.4506,0.2412,0.0911,0.1817,0.0347,0.3292,0.0630
5,0.2674,0.4506,0.2413,0.0911,0.1817,0.0347,0.3292,0.0630
6,0.2692,0.4504,0.2413,0.0911,0.1817,0.0348,0.3292,0.0631
7,0.2711,0.4502,0.2413,0.0911,0.1817,0.0349,0.3292,0.0631
8,0.2732,0.4500,0.2413,0.0910,0.1817,0.0349,0.3292,0.0631
9,0.2754,0.4497,0.2414,0.0909,0.1817,0.0348,0.3292,0.0631
10,0.2778,0.4495,0.2416,0.0908,0.1817,0.0348,0.3292,0.0630
11,0.2804,0.4492,0.2417,0.0908,0.1817,0.0348,0.3292,0.0631
12,0.2830,0.4489,0.2418,0.0907,0.1817,0.0349,0.3292,0.0631
13,0.2857,0.4485,0.2419,0.0907,0.1817,0.0350,0.3292,0.0632
14,0.2885,0.4481,0.2420,0.0906,0.1817,0.0350,0.3292,0.0632
15,0.2914,0.4477,0.2421,0.0905,0.1817,0.0350,0.3292,0.0632
16,0.2945,0.4472,0.2423,0.0904,0.1817,0.0351,0.3292,0.0632
17,0.2976,0.4467,0.2424,0.0903,0.1817,0.0351,0.3293,0.0632
18,0.3010,0.4461,0.2426,0.0902,0.1818,0.0351,0.3293,0.0631
19,0.3044,0.4455,0.2428,0.0901,0.1819,0.0351,0.3294,0.0630
20,0.3079,0.4448,0.2430,0.0900,0.1819,0.0351,0.3295,0.0630
21,0.3115,0.4441,0.2432,0.0899,0.1820,0.0352,0.3295,0.0630
22,0.3151,0.4434,0.2434,0.0898,0.1820,0.0352,0.3295,0.0631
23,0.3187,0.4425,0.2437,0.0896,0.1820,0.0353,0.3295,0.0631
24,0.3224,0.4417,0.2440,0.0894,0.1820,0.0353,0.3295,0.0631
25,0.3259,0.4407,0.2442,0.0892,0.1820,0.0353,0.3295,0.0631
26,0.3293,0.4398,0.2445,0.0890,0.1820,0.0353,0.3295,0.0631
27,0.3327,0.4388,0.2447,0.0887,0.1820,0.0353,0.3295,0.0631
28,0.3360,0.4378,0.2449,0.0885,0.1820,0.0353,0.3295,0.0630
29,0.3392,0.4368,0.2452,0.0883,0.1820,0.0352,0.3295,0.0629
30,0.3425,0.4357,0.2454,0.0881,0.1820,0.0353,0.3295,0.0629
31,0.3459,0.4347,0.2457,0.0879,0.1820,0.0353,0.3296,0.0630
32,0.3493,0.4336,0.2460,0.0877,0.1821,0.0354,0.3296,0.0630
33,0.3529,0.4324,0.2463,0.0875,0.1821,0.0354,0.3297,0.0629
34,0.3563,0.4313,0.2466,0.0873,0.1822,0.0354,0.3298,0.0629
35,0.3597,0.4300,0.2470,0.0871,0.1822,0.0354,0.3298,0.0629
36,0.3629,0.4288,0.2472,0.0868,0.1822,0.0355,0.3298,0.0629
37,0.3661,0.4276,0.2475,0.0866,0.1822,0.0355,0.3298,0.0629
38,0.3691,0.4264,0.2477,0.0864,0.1822,0.0355,0.3298,0.0629
39,0.3720,0.4253,0.2480,0.0862,0.1822,0.0355,0.3298,0.0628
40,0.3749,0.4241,0.2482,0.0860,0.1822,0.0355,0.3298,0.0628
41,0.3777,0.4229,0.2484,0.0858,0.1822,0.0356,0.3298,0.0628
42,0.3805,0.4217,0.2485,0.0856,0.1823,0.0356,0.3299,0.0628
43,0.3831,0.4205,0.2487,0.0854,0.1823,0.0356,0.3300,0.0628
44,0.3857,0.4193,0.2488,0.0852,0.1824,0.0356,0.3300,0.0627
45,0.3881,0.4182,0.2489,0.0850,0.1824,0.0356,0.3301,0.0627
46,0.3904,0.4171,0.2491,0.0849,0.1824,0.0357,0.3301,0.0627
47,0.3926,0.4161,0.2492,0.0848,0.1824,0.0357,0.3301,0.0627
48,0.3947,0.4152,0.2493,0.0847,0.1824,0.0357,0.3301,0.0627
49,0.3967,0.4143,0.2494,0.0846,0.1825,0.0357,0.3301,0.0626
50,0.3986,0.4133,0.2496,0.0844,0.1825,0.0357,0.3302,0.0626
51,0.4005,0.4124,0.2497,0.0843,0.1826,0.0358,0.3303,0.0626
52,0.4022,0.4116,0.2498,0.0842,0.1826,0.0358,0.3303,0.0625
53,0.4039,0.4107,0.2500,0.0841,0.1827,0.0358,0.3304,0.0625
54,0.4054,0.4100,0.2501,0.0840,0.1827,0.0359,0.3304,0.0625
55,0.4068,0.4093,0.2503,0.0839,0.1827,0.0359,0.3304,0.0625
56,0.4081,0.4087,0.2504,0.0839,0.1827,0.0360,0.3304,0.0625
57,0.4092,0.4080,0.2504,0.0838,0.1827,0.0360,0.3304,0.0625
58,0.4103,0.4074,0.2505,0.0836,0.1827,0.0360,0.3304,0.0624
59,0.4113,0.4069,0.2506,0.0836,0.1827,0.0359,0.3304,0.0623
60,0.4122,0.4064,0.2506,0.0835,0.1827,0.0359,0.3304,0.0623
61,0.4130,0.4059,0.2507,0.0834,0.1827,0.0359,0.3304,0.0623
62,0.4137,0.4055,0.2507,0.0834,0.1827,0.0359,0.3304,0.0623
63,0.4145,0.4050,0.2507,0.0833,0.1827,0.0359,0.3304,0.0623
64,0.4152,0.4046,0.2507,0.0832,0.1827,0.0359,0.3304,0.0622
65,0.4158,0.4042,0.2507,0.0832,0.1827,0.0359,0.3304,0.0622
66,0.4164,0.4039,0.2508,0.0831,0.1827,0.0359,0.3304,0.0622
67,0.4170,0.4035,0.2508,0.0831,0.1827,0.0359,0.3304,0.0622
68,0.4174,0.4032,0.2508,0.0830,0.1827,0.0359,0.3304,0.0622
69,0.4178,0.4028,0.2508,0.0829,0.1827,0.0359,0.3304,0.0622
70,0.4182,0.4025,0.2508,0.0829,0.1827,0.0359,0.3304,0.0622
71,0.4186,0.4023,0.2508,0.0828,0.1827,0.0360,0.3304,0.0622
72,0.4189,0.4020,0.2508,0.0828,0.1826,0.0360,0.3304,0.0622
73,0.4191,0.4018,0.2507,0.0827,0.1826,0.0360,0.3304,0.0622
74,0.4194,0.4016,0.2507,0.0827,0.1826,0.0360,0.3304,0.0622
75,0.4196,0.4013,0.2507,0.0826,0.1826,0.0360,0.3304,0.0622
76,0.4199,0.4010,0.2507,0.0826,0.1826,0.0360,0.3304,0.0623
77,0.4203,0.4007,0.2506,0.0826,0.1826,0.0360,0.3304,0.0623
78,0.4206,0.4005,0.2506,0.0826,0.1826,0.0360,0.3304,0.0622
79,0.4210,0.4002,0.2505,0.0826,0.1826,0.0360,0.3304,0.0622
80,0.4215,0.3999,0.2504,0.0826,0.1826,0.0360,0.3305,0.0622
81,0.4220,0.3995,0.2504,0.0826,0.1826,0.0360,0.3305,0.0622
82,0.4227,0.3991,0.2504,0.0826,0.1826,0.0361,0.3304,0.0621
83,0.4235,0.3986,0.2504,0.0826,0.1825,0.0361,0.3304,0.0621
84,0.4242,0.3982,0.2504,0.0826,0.1824,0.0361,0.3303,0.0620
85,0.4251,0.3977,0.2503,0.0826,0.1824,0.0362,0.3303,0.0620
86,0.4260,0.3971,0.2503,0.0827,0.1823,0.0362,0.3303,0.0619
87,0.4271,0.3965,0.2503,0.0827,0.1823,0.0363,0.3303,0.0619
88,0.4284,0.3958,0.2503,0.0828,0.1824,0.0363,0.3304,0.0618
89,0.4300,0.3951,0.2504,0.0829,0.1825,0.0364,0.3305,0.0618
90,0.4318,0.3943,0.2505,0.0831,0.1825,0.0366,0.3306,0.0618
91,0.4337,0.3935,0.2506,0.0834,0.1826,0.0368,0.3307,0.0617
92,0.4358,0.3927,0.2507,0.0839,0.1828,0.0371,0.3310,0.0616
93,0.4381,0.3920,0.2509,0.0845,0.1831,0.0378,0.3313,0.0615
94,0.4408,0.3913,0.2513,0.0852,0.1834,0.0387,0.3317,0.0616
95,0.4439,0.3905,0.2518,0.0860,0.1837,0.0399,0.3322,0.0617
96,0.4473,0.3897,0.2526,0.0868,0.1842,0.0413,0.3328,0.0618
97,0.4508,0.3889,0.2534,0.0878,0.1846,0.0428,0.3334,0.0618
98,0.4544,0.3881,0.2543,0.0888,0.1851,0.0442,0.3340,0.0619
99,0.4577,0.3872,0.2549,0.0897,0.1855,0.0455,0.3345,0.0619
100,0.4609,0.3863,0.2555,0.0906,0.1858,0.0466,0.3349,0.0619
101,0.4638,0.3853,0.2560,0.0912,0.1861,0.0475,0.3353,0.0619
102,0.4665,0.3843,0.2566,0.0916,0.1864,0.0482,0.3356,0.0619
103,0.4686,0.3835,0.2570,0.0919,0.1867,0.0487,0.3359,0.0620
104,0.4702,0.3830,0.2574,0.0922,0.1869,0.0492,0.3361,0.0621
105,0.4712,0.3828,0.2576,0.0925,0.1872,0.0498,0.3364,0.0622
106,0.4718,0.3831,0.2580,0.0930,0.1875,0.0503,0.3367,0.0623
107,0.4720,0.3838,0.2583,0.0935,0.1877,0.0510,0.3369,0.0623
108,0.4718,0.3851,0.2587,0.0943,0.1880,0.0518,0.3372,0.0623
109,0.4711,0.3870,0.2590,0.0953,0.1883,0.0528,0.3376,0.0624
110,0.4699,0.3893,0.2594,0.0965,0.1887,0.0541,0.3381,0.0625
111,0.4684,0.3923,0.2598,0.0980,0.1891,0.0556,0.3386,0.0626
112,0.4664,0.3957,0.2603,0.0996,0.1896,0.0573,0.3391,0.0627
113,0.4640,0.3996,0.2610,0.1013,0.1902,0.0592,0.3398,0.0628
114,0.4612,0.4041,0.2619,0.1033,0.1909,0.0615,0.3405,0.0630
115,0.4580,0.4090,0.2630,0.1053,0.1917,0.0640,0.3413,0.0633
116,0.4541,0.4146,0.2642,0.1076,0.1927,0.0669,0.3423,0.0636
117,0.4495,0.4209,0.2657,0.1102,0.1940,0.0703,0.3435,0.0640
118,0.4440,0.4281,0.2674,0.1132,0.1955,0.0744,0.3449,0.0646
119,0.4374,0.4364,0.2695,0.1167,0.1975,0.0791,0.3465,0.0652
120,0.4295,0.4457,0.2721,0.1208,0.1999,0.0847,0.3485,0.0659
121,0.4202,0.4562,0.2753,0.1255,0.2031,0.0912,0.3509,0.0666
122,0.4093,0.4678,0.2797,0.1309,0.2073,0.0991,0.3538,0.0673
123,0.3966,0.4806,0.2861,0.1370,0.2131,0.1090,0.3575,0.0685
