time_point,pct_cover
20140626,18
20140626,13.5
20140626,18.5
20140626,17
20140626,9.5
20140626,9
20140626,4.5
20140626,8
20140626,6
20140626,6
20140626,5
20140626,0.5
20140626,2.5
20140626,10
20140626,4
20140626,9
20140626,10
20140626,10
20140626,17
20140626,12.5
20140626,4.5
20140626,17.5
20140626,20
20140626,23
20140626,25
20140626,9
20140626,2
20140626,14
20140626,15
20140626,28
20140626,7
20140626,7
20140626,18
20140626,3
20140626,1.5
20140626,6
20140626,12
20140626,24
20140626,5
20140626,9
20140909,10
20140909,23.5
20140909,17
20140909,14
20140909,13
20140909,15.5
20140909,6
20140909,23.5
20140909,30
20140909,24
20140909,23
20140909,22
20140909,19
20140909,11
20140909,16
20140909,6
20140909,8
20140909,3
20140909,7.5
20140909,21
20140909,10
20140909,7
20140909,1
20140909,5
20140909,6.5
20140909,18
20140909,9
20140909,4.5
20140909,3
20140909,6
20140909,3
20140909,1.5
20140909,1.5
20140909,1.5
20140909,3.5
20140909,12
20140909,5
20140909,19
20140909,5
20140909,5
20150216,3
20150216,1.5
20150216,3
20150216,4.5
20150216,1
20150216,4
20150216,5.5
20150216,2.5
20150216,0.5
20150216,7
20150216,1
20150216,1
20150216,0.5
20150216,2
20150216,3
20150216,5
20150216,2
20150216,2
20150216,10
20150216,1
20150216,8
20150216,6
20150216,11.5
20150216,4
20150216,3.5
20150216,5.5
20150216,7
20150216,3.5
20150216,9.5
20150216,8
20150216,6.5
20150216,4.5
20150216,16
20150216,7
20150216,10
20150216,5.5
20150216,1.5
20150216,7
20150216,11.5
20150216,3.5
20150518,6
20150518,5
20150518,11.5
20150518,3.5
20150518,1
20150518,5
20150518,6
20150518,0.5
20150518,8.5
20150518,1.25
20150518,1.25
20150518,1
20150518,8
20150518,6
20150518,5
20150518,4.75
20150518,2.5
20150518,6.75
20150518,5.5
20150518,7
20150518,1
20150518,0.5
20150518,4
20150518,2
20150518,1.5
20150518,2.5
20150518,4.5
20150518,2.5
20150518,2
20150518,7.5
20150518,2
20150518,3.5
20150518,2
20150518,1.5
20150518,4.5
20150518,4.5
20150518,3
20150518,5.5
20150518,10
20150518,2
