Time(s),Length(m),Activation,Force(N)
 0.000,  0.340,0.010,   4.688
 0.001,  0.340,0.010,   4.688
 0.003,  0.340,0.010,   4.688
 0.004,  0.340,0.010,   4.688
 0.006,  0.340,0.010,   4.688
 0.007,  0.340,0.010,   4.688
 0.008,  0.340,0.010,   4.688
 0.010,  0.340,0.010,   4.688
 0.011,  0.340,0.010,   4.688
 0.013,  0.340,0.010,   4.688
 0.014,  0.340,0.010,   4.688
 0.015,  0.340,0.010,   4.688
 0.017,  0.340,0.010,   4.688
 0.018,  0.340,0.010,   4.688
 0.020,  0.340,0.010,   4.688
 0.021,  0.340,0.010,   4.688
 0.022,  0.340,0.010,   4.688
 0.024,  0.340,0.010,   4.688
 0.025,  0.340,0.010,   4.688
 0.027,  0.340,0.010,   4.688
 0.028,  0.340,0.010,   4.688
 0.029,  0.340,0.010,   4.688
 0.031,  0.340,0.010,   4.688
 0.032,  0.340,0.010,   4.688
 0.034,  0.340,0.010,   4.688
 0.035,  0.340,0.010,   4.688
 0.036,  0.340,0.010,   4.688
 0.038,  0.340,0.010,   4.688
 0.039,  0.340,0.010,   4.688
 0.041,  0.340,0.010,   4.688
 0.042,  0.340,0.010,   4.688
 0.043,  0.340,0.010,   4.688
 0.045,  0.340,0.010,   4.688
 0.046,  0.340,0.010,   4.688
 0.048,  0.340,0.010,   4.688
 0.049,  0.340,0.010,   4.688
 0.050,  0.340,0.010,   4.693
 0.052,  0.340,0.016,   4.934
 0.053,  0.340,0.027,   5.522
 0.055,  0.340,0.044,   6.344
 0.056,  0.340,0.064,   7.336
 0.057,  0.340,0.088,   8.460
 0.059,  0.340,0.113,   9.693
 0.060,  0.340,0.141,  11.018
 0.062,  0.340,0.169,  12.420
 0.063,  0.340,0.199,  13.890
 0.064,  0.340,0.229,  15.418
 0.066,  0.340,0.259,  16.995
 0.067,  0.340,0.289,  18.615
 0.069,  0.340,0.319,  20.271
 0.070,  0.340,0.348,  21.957
 0.071,  0.340,0.377,  23.667
 0.073,  0.340,0.405,  25.397
 0.074,  0.340,0.432,  27.141
 0.076,  0.340,0.458,  28.895
