Time(s),Force(N)
 0.000,   0.000
 0.002,   0.000
 0.004,   0.000
 0.006,   0.000
 0.008,   0.000
 0.010,   0.000
 0.012,   0.000
 0.014,   0.000
 0.016,   0.000
 0.018,   0.000
 0.020,   0.000
 0.022,   0.000
 0.024,   0.000
 0.026,   0.000
 0.028,   0.000
 0.030,   0.000
 0.032,   0.000
 0.034,   0.000
 0.036,   0.000
 0.038,   0.000
 0.040,   0.000
 0.042,   0.000
 0.044,   0.000
 0.046,   0.000
 0.048,   0.000
 0.050,   0.000
 0.052,   0.000
 0.054,   0.000
 0.056,   0.000
 0.058,   0.000
 0.060,   0.000
 0.062,   0.000
 0.064,   0.000
 0.066,   0.000
 0.068,   0.000
 0.070,   0.000
 0.072,   0.000
 0.074,   0.000
 0.076,   0.000
 0.078,   0.000
 0.080,   0.000
 0.082,   0.000
 0.084,   0.000
 0.086,   0.000
 0.088,   0.000
 0.090,   0.000
 0.092,   0.000
 0.094,   0.000
 0.096,   0.000
 0.098,   0.000
 0.100,   0.000
 0.102,   1.272
 0.104,   4.571
 0.106,   8.638
 0.108,   9.742
 0.110,   9.446
 0.112,   9.176
 0.114,  10.280
 0.116,  12.806
 0.118,  13.131
 0.120,  12.627
 0.122,  12.147
 0.124,  12.606
 0.126,  14.566
 0.128,  14.683
 0.130,  14.110
 0.132,  13.463
 0.134,  13.468
 0.136,  15.171
 0.138,  15.486
 0.140,  14.978
 0.142,  14.186
 0.144,  13.863
 0.146,  14.748
 0.148,  15.896
 0.150,  15.577
 0.152,  14.813
 0.154,  14.152
 0.156,  14.166
 0.158,  15.456
 0.160,  15.944
 0.162,  15.442
 0.164,  14.681
 0.166,  14.160
 0.168,  14.279
 0.170,  15.277
 0.172,  15.838
 0.174,  15.365
 0.176,  14.698
 0.178,  14.323
 0.180,  14.123
 0.182,  14.362
 0.184,  15.580
 0.186,  15.394
 0.188,  14.958
 0.190,  14.635
 0.192,  14.070
 0.194,  13.609
 0.196,  13.976
 0.198,  15.283
 0.200,  15.358
 0.202,  15.106
 0.204,  14.433
 0.206,  13.670
 0.208,  13.030
 0.210,  13.030
 0.212,  14.780
 0.214,  15.531
 0.216,  15.123
 0.218,  14.329
 0.220,  13.566
 0.222,  12.985
 0.224,  12.777
 0.226,  12.883
 0.228,  14.169
 0.230,  14.995
 0.232,  14.617
 0.234,  14.038
 0.236,  13.703
 0.238,  13.316
 0.240,  12.712
 0.242,  12.067
 0.244,  11.787
 0.246,  12.971
 0.248,  14.600
 0.250,  14.804
 0.252,  14.259
 0.254,  13.502
 0.256,  12.767
 0.258,  12.159
 0.260,  11.820
 0.262,  11.644
 0.264,  11.351
 0.266,  11.677
 0.268,  13.253
 0.270,  13.998
 0.272,  13.842
 0.274,  13.583
 0.276,  13.185
 0.278,  12.579
 0.280,  11.913
 0.282,  11.279
 0.284,  10.759
 0.286,  10.497
 0.288,  10.389
 0.290,  10.279
 0.292,  11.000
 0.294,  12.592
 0.296,  13.303
 0.298,  13.283
 0.300,  13.005
 0.302,  12.719
 0.304,  12.239
 0.306,  11.627
 0.308,  11.003
 0.310,  10.436
 0.312,  10.015
 0.314,   9.846
 0.316,   9.742
 0.318,   9.460
 0.320,   9.028
 0.322,   8.571
 0.324,   8.215
 0.326,   8.687
 0.328,  10.471
 0.330,  11.881
 0.332,  12.444
 0.334,  12.731
 0.336,  12.306
 0.338,  11.690
 0.340,  11.110
 0.342,  10.741
 0.344,  10.542
 0.346,  10.340
 0.348,   9.955
 0.350,   9.470
 0.352,   8.978
 0.354,   8.532
 0.356,   8.203
 0.358,   8.086
 0.360,   8.049
 0.362,   7.958
 0.364,   7.683
 0.366,   7.329
 0.368,   6.971
 0.370,   6.657
 0.372,   6.467
 0.374,   6.461
 0.376,   6.509
 0.378,   6.509
 0.380,   6.336
 0.382,   6.071
 0.384,   5.792
 0.386,   5.544
 0.388,   5.394
 0.390,   5.422
 0.392,   5.925
 0.394,   7.074
 0.396,   8.230
 0.398,   8.829
 0.400,   9.563
 0.402,   9.699
 0.404,   9.336
 0.406,   9.025
 0.408,   8.834
 0.410,   8.685
 0.412,   8.528
 0.414,   8.613
 0.416,   9.017
 0.418,   9.370
 0.420,   9.068
 0.422,   8.672
 0.424,   8.403
 0.426,   8.233
 0.428,   8.095
 0.430,   7.959
 0.432,   7.745
 0.434,   7.407
 0.436,   7.044
 0.438,   6.693
 0.440,   6.392
 0.442,   6.214
 0.444,   6.161
 0.446,   6.109
 0.448,   6.099
 0.450,   6.052
 0.452,   5.912
 0.454,   5.670
 0.456,   5.409
 0.458,   5.162
 0.460,   4.967
 0.462,   4.898
 0.464,   4.917
 0.466,   4.914
 0.468,   4.957
 0.470,   4.968
 0.472,   4.934
 0.474,   4.773
 0.476,   4.574
 0.478,   4.375
 0.480,   4.203
 0.482,   4.120
 0.484,   4.152
 0.486,   4.194
 0.488,   4.213
 0.490,   4.283
 0.492,   4.312
 0.494,   4.312
 0.496,   4.189
 0.498,   4.025
 0.500,   3.857
 0.502,   3.710
 0.504,   3.636
 0.506,   3.674
 0.508,   3.738
 0.510,   3.745
 0.512,   3.802
 0.514,   3.862
 0.516,   3.894
 0.518,   3.899
 0.520,   3.791
 0.522,   3.645
 0.524,   3.497
 0.526,   3.368
 0.528,   3.305
 0.530,   3.344
 0.532,   3.419
 0.534,   3.430
 0.536,   3.436
 0.538,   3.520
 0.540,   3.549
 0.542,   3.580
 0.544,   3.597
 0.546,   3.503
 0.548,   3.371
 0.550,   3.237
 0.552,   3.115
 0.554,   3.047
 0.556,   3.069
 0.558,   3.135
 0.560,   3.192
 0.562,   3.153
 0.564,   3.164
 0.566,   3.258
 0.568,   3.273
 0.570,   3.274
 0.572,   3.330
 0.574,   3.293
 0.576,   3.183
 0.578,   3.057
 0.580,   2.937
 0.582,   2.837
 0.584,   2.800
 0.586,   2.832
 0.588,   2.889
 0.590,   2.959
 0.592,   2.919
 0.594,   2.860
 0.596,   2.907
 0.598,   3.008
 0.600,   2.999
 0.602,   2.958
 0.604,   3.004
 0.606,   3.045
 0.608,   2.975
 0.610,   2.864
 0.612,   2.751
 0.614,   2.643
 0.616,   2.558
 0.618,   2.539
