Time(s),Length(m),Activation,Force(N)
 0.000,  0.250,0.010,   1.793
 0.001,  0.250,0.010,   1.793
 0.002,  0.250,0.010,   1.793
 0.003,  0.250,0.010,   1.793
 0.004,  0.250,0.010,   1.793
 0.005,  0.250,0.010,   1.793
 0.006,  0.250,0.010,   1.793
 0.007,  0.250,0.010,   1.793
 0.008,  0.250,0.010,   1.793
 0.009,  0.250,0.010,   1.793
 0.010,  0.250,0.010,   1.793
 0.011,  0.250,0.010,   1.793
 0.012,  0.250,0.010,   1.793
 0.013,  0.250,0.010,   1.793
 0.014,  0.250,0.010,   1.793
 0.015,  0.250,0.010,   1.793
 0.016,  0.250,0.010,   1.793
 0.017,  0.250,0.010,   1.793
 0.018,  0.250,0.010,   1.793
 0.019,  0.250,0.010,   1.793
 0.020,  0.250,0.010,   1.793
 0.021,  0.250,0.010,   1.793
 0.022,  0.250,0.010,   1.793
 0.023,  0.250,0.010,   1.793
 0.024,  0.250,0.010,   1.793
 0.025,  0.250,0.010,   1.793
 0.026,  0.250,0.010,   1.793
 0.027,  0.250,0.010,   1.793
 0.028,  0.250,0.010,   1.793
 0.029,  0.250,0.010,   1.793
 0.030,  0.250,0.010,   1.793
 0.031,  0.250,0.010,   1.793
 0.032,  0.250,0.010,   1.793
 0.033,  0.250,0.010,   1.793
 0.034,  0.250,0.010,   1.793
 0.035,  0.250,0.010,   1.793
 0.036,  0.250,0.010,   1.793
 0.037,  0.250,0.010,   1.793
 0.038,  0.250,0.010,   1.793
 0.039,  0.250,0.010,   1.793
 0.040,  0.250,0.010,   1.793
 0.041,  0.250,0.010,   1.793
 0.042,  0.250,0.010,   1.793
 0.043,  0.250,0.010,   1.793
 0.044,  0.250,0.010,   1.793
 0.045,  0.250,0.010,   1.793
 0.046,  0.250,0.010,   1.793
 0.047,  0.250,0.010,   1.793
 0.048,  0.250,0.010,   1.793
 0.049,  0.250,0.010,   1.793
 0.050,  0.250,0.010,   1.793
 0.051,  0.250,0.010,   1.793
 0.052,  0.250,0.010,   1.793
 0.053,  0.250,0.010,   1.793
 0.054,  0.250,0.010,   1.793
 0.055,  0.250,0.010,   1.793
 0.056,  0.250,0.010,   1.793
 0.057,  0.250,0.010,   1.793
 0.058,  0.250,0.010,   1.793
 0.059,  0.250,0.010,   1.793
 0.060,  0.250,0.010,   1.793
 0.061,  0.250,0.010,   1.793
 0.062,  0.250,0.010,   1.793
 0.063,  0.250,0.010,   1.793
 0.064,  0.250,0.010,   1.793
 0.065,  0.250,0.010,   1.793
 0.066,  0.250,0.010,   1.793
 0.067,  0.250,0.010,   1.793
 0.068,  0.250,0.010,   1.793
 0.069,  0.250,0.010,   1.793
 0.070,  0.250,0.010,   1.793
 0.071,  0.250,0.010,   1.793
 0.072,  0.250,0.010,   1.793
 0.073,  0.250,0.010,   1.793
 0.074,  0.250,0.010,   1.793
 0.075,  0.250,0.010,   1.793
 0.076,  0.250,0.010,   1.793
 0.077,  0.250,0.010,   1.793
 0.078,  0.250,0.010,   1.793
 0.079,  0.250,0.010,   1.793
 0.080,  0.250,0.010,   1.793
 0.081,  0.250,0.010,   1.793
 0.082,  0.250,0.010,   1.793
 0.083,  0.250,0.010,   1.793
 0.084,  0.250,0.010,   1.793
 0.085,  0.250,0.010,   1.793
 0.086,  0.250,0.010,   1.793
 0.087,  0.250,0.010,   1.793
 0.088,  0.250,0.010,   1.793
 0.089,  0.250,0.010,   1.793
 0.090,  0.250,0.010,   1.793
 0.091,  0.250,0.010,   1.793
 0.092,  0.250,0.010,   1.793
 0.093,  0.250,0.010,   1.793
 0.094,  0.250,0.010,   1.793
 0.095,  0.250,0.010,   1.793
 0.096,  0.250,0.010,   1.793
 0.097,  0.250,0.010,   1.793
 0.098,  0.250,0.010,   1.793
 0.099,  0.250,0.010,   1.793
 0.100,  0.250,0.010,   1.793
 0.101,  0.250,0.012,   1.876
 0.102,  0.250,0.017,   2.207
 0.103,  0.250,0.026,   2.745
 0.104,  0.250,0.036,   3.440
 0.105,  0.250,0.049,   4.260
 0.106,  0.250,0.064,   5.185
 0.107,  0.250,0.081,   6.199
 0.108,  0.250,0.098,   7.291
 0.109,  0.250,0.117,   8.452
 0.110,  0.250,0.137,   9.675
 0.111,  0.250,0.157,  10.952
 0.112,  0.250,0.178,  12.278
 0.113,  0.250,0.199,  13.647
 0.114,  0.250,0.220,  15.055
 0.115,  0.250,0.242,  16.498
 0.116,  0.250,0.263,  17.970
 0.117,  0.250,0.285,  19.469
 0.118,  0.250,0.306,  20.990
 0.119,  0.250,0.327,  22.530
 0.120,  0.250,0.348,  24.085
 0.121,  0.250,0.368,  25.652
 0.122,  0.250,0.389,  27.229
 0.123,  0.250,0.409,  28.811
 0.124,  0.250,0.428,  30.397
 0.125,  0.250,0.447,  31.984
 0.126,  0.250,0.466,  33.568
 0.127,  0.250,0.484,  35.148
 0.128,  0.250,0.502,  36.722
 0.129,  0.250,0.519,  38.287
 0.130,  0.250,0.536,  39.841
 0.131,  0.250,0.552,  41.382
 0.132,  0.250,0.568,  42.909
 0.133,  0.250,0.584,  44.420
 0.134,  0.250,0.599,  45.913
 0.135,  0.250,0.613,  47.388
 0.136,  0.250,0.627,  48.842
 0.137,  0.250,0.641,  50.275
 0.138,  0.250,0.654,  51.686
 0.139,  0.250,0.667,  53.074
 0.140,  0.250,0.679,  54.438
 0.141,  0.250,0.691,  55.777
 0.142,  0.250,0.702,  57.091
 0.143,  0.250,0.713,  58.379
 0.144,  0.250,0.724,  59.641
 0.145,  0.250,0.735,  60.876
 0.146,  0.250,0.745,  62.085
 0.147,  0.250,0.754,  63.267
 0.148,  0.250,0.764,  64.421
 0.149,  0.250,0.772,  65.548
 0.150,  0.250,0.781,  66.648
 0.151,  0.250,0.789,  67.721
 0.152,  0.250,0.797,  68.767
 0.153,  0.250,0.805,  69.786
 0.154,  0.250,0.813,  70.778
 0.155,  0.250,0.820,  71.743
 0.156,  0.250,0.827,  72.683
 0.157,  0.250,0.833,  73.596
 0.158,  0.250,0.840,  74.484
 0.159,  0.250,0.846,  75.347
 0.160,  0.250,0.852,  76.185
 0.161,  0.250,0.858,  76.998
 0.162,  0.250,0.863,  77.788
 0.163,  0.250,0.868,  78.553
 0.164,  0.250,0.874,  79.296
 0.165,  0.250,0.878,  80.016
 0.166,  0.250,0.883,  80.714
 0.167,  0.250,0.888,  81.389
 0.168,  0.250,0.892,  82.044
 0.169,  0.250,0.896,  82.678
 0.170,  0.250,0.900,  83.292
 0.171,  0.250,0.904,  83.885
 0.172,  0.250,0.908,  84.460
 0.173,  0.250,0.911,  85.015
 0.174,  0.250,0.915,  85.553
 0.175,  0.250,0.918,  86.072
 0.176,  0.250,0.921,  86.574
 0.177,  0.250,0.924,  87.059
 0.178,  0.250,0.927,  87.528
 0.179,  0.250,0.930,  87.981
 0.180,  0.250,0.933,  88.418
 0.181,  0.250,0.936,  88.841
 0.182,  0.250,0.938,  89.248
 0.183,  0.250,0.941,  89.642
 0.184,  0.250,0.943,  90.021
 0.185,  0.250,0.945,  90.388
 0.186,  0.250,0.947,  90.741
 0.187,  0.250,0.949,  91.082
 0.188,  0.250,0.951,  91.411
 0.189,  0.250,0.953,  91.728
 0.190,  0.250,0.955,  92.034
 0.191,  0.250,0.957,  92.329
 0.192,  0.250,0.958,  92.613
 0.193,  0.250,0.960,  92.887
 0.194,  0.250,0.962,  93.152
 0.195,  0.250,0.963,  93.406
 0.196,  0.250,0.965,  93.651
 0.197,  0.250,0.966,  93.887
 0.198,  0.250,0.967,  94.115
 0.199,  0.250,0.969,  94.334
 0.200,  0.250,0.970,  94.545
 0.201,  0.250,0.971,  94.749
 0.202,  0.250,0.972,  94.944
 0.203,  0.250,0.973,  95.133
 0.204,  0.250,0.974,  95.315
 0.205,  0.250,0.975,  95.489
 0.206,  0.250,0.976,  95.658
 0.207,  0.250,0.977,  95.820
 0.208,  0.250,0.978,  95.975
 0.209,  0.250,0.979,  96.126
 0.210,  0.250,0.980,  96.270
 0.211,  0.250,0.981,  96.409
 0.212,  0.250,0.981,  96.543
 0.213,  0.250,0.982,  96.671
 0.214,  0.250,0.983,  96.795
 0.215,  0.250,0.983,  96.914
 0.216,  0.250,0.984,  97.029
 0.217,  0.250,0.985,  97.139
 0.218,  0.250,0.985,  97.245
 0.219,  0.250,0.986,  97.347
 0.220,  0.250,0.986,  97.446
 0.221,  0.250,0.987,  97.540
 0.222,  0.250,0.987,  97.631
 0.223,  0.250,0.988,  97.718
 0.224,  0.250,0.988,  97.802
 0.225,  0.250,0.989,  97.883
 0.226,  0.250,0.989,  97.961
 0.227,  0.250,0.990,  98.035
 0.228,  0.250,0.990,  98.107
 0.229,  0.250,0.991,  98.176
 0.230,  0.250,0.991,  98.243
 0.231,  0.250,0.991,  98.307
 0.232,  0.250,0.992,  98.368
 0.233,  0.250,0.992,  98.427
 0.234,  0.250,0.992,  98.484
 0.235,  0.250,0.993,  98.539
 0.236,  0.250,0.993,  98.591
 0.237,  0.250,0.993,  98.642
 0.238,  0.250,0.993,  98.690
 0.239,  0.250,0.994,  98.737
 0.240,  0.250,0.994,  98.782
 0.241,  0.250,0.994,  98.825
 0.242,  0.250,0.994,  98.866
 0.243,  0.250,0.995,  98.906
 0.244,  0.250,0.995,  98.944
 0.245,  0.250,0.995,  98.981
 0.246,  0.250,0.995,  99.016
 0.247,  0.250,0.995,  99.050
 0.248,  0.250,0.996,  99.083
 0.249,  0.250,0.996,  99.114
 0.250,  0.250,0.996,  99.145
 0.251,  0.250,0.996,  99.174
