Time(s),Length(m),Activation,Force(N)
 0.000,  0.288,0.010,  16.718
 0.001,  0.288,0.010,  16.718
 0.002,  0.288,0.010,  16.718
 0.003,  0.288,0.010,  16.718
 0.004,  0.288,0.010,  16.718
 0.005,  0.288,0.010,  16.718
 0.006,  0.288,0.010,  16.718
 0.007,  0.288,0.010,  16.718
 0.008,  0.288,0.010,  16.718
 0.009,  0.288,0.010,  16.718
 0.010,  0.288,0.010,  16.718
 0.011,  0.288,0.010,  16.718
 0.012,  0.288,0.010,  16.718
 0.013,  0.288,0.010,  16.718
 0.014,  0.288,0.010,  16.718
 0.015,  0.288,0.010,  16.718
 0.016,  0.288,0.010,  16.718
 0.017,  0.288,0.010,  16.718
 0.018,  0.288,0.010,  16.718
 0.019,  0.288,0.010,  16.718
 0.020,  0.288,0.010,  16.718
 0.021,  0.288,0.010,  16.718
 0.022,  0.288,0.010,  16.718
 0.023,  0.288,0.010,  16.718
 0.024,  0.288,0.010,  16.718
 0.025,  0.288,0.010,  16.718
 0.026,  0.288,0.010,  16.718
 0.027,  0.288,0.010,  16.718
 0.028,  0.288,0.010,  16.718
 0.029,  0.288,0.010,  16.718
 0.030,  0.288,0.010,  16.718
 0.031,  0.288,0.010,  16.718
 0.032,  0.288,0.010,  16.718
 0.033,  0.288,0.010,  16.718
 0.034,  0.288,0.010,  16.718
 0.035,  0.288,0.010,  16.718
 0.036,  0.288,0.010,  16.718
 0.037,  0.288,0.010,  16.718
 0.038,  0.288,0.010,  16.718
 0.039,  0.288,0.010,  16.718
 0.040,  0.288,0.010,  16.718
 0.041,  0.288,0.010,  16.718
 0.042,  0.288,0.010,  16.718
 0.043,  0.288,0.010,  16.718
 0.044,  0.288,0.010,  16.718
 0.045,  0.288,0.010,  16.718
 0.046,  0.288,0.010,  16.718
 0.047,  0.288,0.010,  16.718
 0.048,  0.288,0.010,  16.718
 0.049,  0.288,0.010,  16.718
 0.050,  0.288,0.010,  16.718
 0.051,  0.288,0.010,  16.718
 0.052,  0.288,0.010,  16.718
 0.053,  0.288,0.010,  16.718
 0.054,  0.288,0.010,  16.718
 0.055,  0.288,0.010,  16.718
 0.056,  0.288,0.010,  16.718
 0.057,  0.288,0.010,  16.718
 0.058,  0.288,0.010,  16.718
 0.059,  0.288,0.010,  16.718
 0.060,  0.288,0.010,  16.718
 0.061,  0.288,0.010,  16.718
 0.062,  0.288,0.010,  16.718
 0.063,  0.288,0.010,  16.718
 0.064,  0.288,0.010,  16.718
 0.065,  0.288,0.010,  16.718
 0.066,  0.288,0.010,  16.718
 0.067,  0.288,0.010,  16.718
 0.068,  0.288,0.010,  16.718
 0.069,  0.288,0.010,  16.718
 0.070,  0.288,0.010,  16.718
 0.071,  0.288,0.010,  16.718
 0.072,  0.288,0.010,  16.718
 0.073,  0.288,0.010,  16.718
 0.074,  0.288,0.010,  16.718
 0.075,  0.288,0.010,  16.718
 0.076,  0.288,0.010,  16.718
 0.077,  0.288,0.010,  16.718
 0.078,  0.288,0.010,  16.718
 0.079,  0.288,0.010,  16.718
 0.080,  0.288,0.010,  16.718
 0.081,  0.288,0.010,  16.718
 0.082,  0.288,0.010,  16.718
 0.083,  0.288,0.010,  16.718
 0.084,  0.288,0.010,  16.718
 0.085,  0.288,0.010,  16.718
 0.086,  0.288,0.010,  16.718
 0.087,  0.288,0.010,  16.718
 0.088,  0.288,0.010,  16.718
 0.089,  0.288,0.010,  16.718
 0.090,  0.288,0.010,  16.718
 0.091,  0.288,0.010,  16.718
 0.092,  0.288,0.010,  16.718
 0.093,  0.288,0.010,  16.718
 0.094,  0.288,0.010,  16.718
 0.095,  0.288,0.010,  16.718
 0.096,  0.288,0.010,  16.718
 0.097,  0.288,0.010,  16.718
 0.098,  0.288,0.010,  16.718
 0.099,  0.288,0.010,  16.718
 0.100,  0.288,0.010,  16.718
 0.101,  0.288,0.012,  16.798
 0.102,  0.288,0.017,  17.071
 0.103,  0.288,0.026,  17.497
 0.104,  0.288,0.036,  18.046
 0.105,  0.288,0.049,  18.695
 0.106,  0.288,0.064,  19.427
 0.107,  0.288,0.081,  20.231
 0.108,  0.288,0.098,  21.095
 0.109,  0.288,0.117,  22.011
 0.110,  0.288,0.137,  22.971
 0.111,  0.288,0.157,  23.971
