Time(s),Length(m),Activation,Force(N)
 0.000,  0.269,0.010,   4.688
 0.002,  0.269,0.010,   4.688
 0.004,  0.269,0.010,   4.688
 0.006,  0.269,0.010,   4.688
 0.008,  0.269,0.010,   4.688
 0.010,  0.269,0.010,   4.688
 0.012,  0.269,0.010,   4.688
 0.014,  0.269,0.010,   4.688
 0.016,  0.269,0.010,   4.688
 0.018,  0.269,0.010,   4.688
 0.020,  0.269,0.010,   4.688
 0.022,  0.269,0.010,   4.688
 0.024,  0.269,0.010,   4.688
 0.026,  0.269,0.010,   4.688
 0.028,  0.269,0.010,   4.688
 0.030,  0.269,0.010,   4.688
 0.032,  0.269,0.010,   4.688
 0.034,  0.269,0.010,   4.688
 0.036,  0.269,0.010,   4.688
 0.038,  0.269,0.010,   4.688
 0.040,  0.269,0.010,   4.688
 0.042,  0.269,0.010,   4.688
 0.044,  0.269,0.010,   4.688
 0.046,  0.269,0.010,   4.688
 0.048,  0.269,0.010,   4.688
 0.050,  0.269,0.010,   4.688
 0.052,  0.269,0.017,   5.085
 0.054,  0.269,0.036,   6.239
 0.056,  0.269,0.064,   7.870
 0.058,  0.269,0.098,   9.839
 0.060,  0.269,0.137,  12.065
 0.062,  0.269,0.178,  14.492
 0.064,  0.269,0.220,  17.075
 0.066,  0.269,0.263,  19.780
 0.068,  0.269,0.306,  22.575
 0.070,  0.269,0.348,  25.434
 0.072,  0.269,0.389,  28.332
 0.074,  0.269,0.428,  31.247
 0.076,  0.269,0.466,  34.160
 0.078,  0.269,0.502,  37.052
 0.080,  0.269,0.536,  39.910
 0.082,  0.269,0.568,  42.718
 0.084,  0.269,0.599,  45.465
 0.086,  0.269,0.627,  48.142
 0.088,  0.269,0.654,  50.740
 0.090,  0.269,0.679,  53.252
 0.092,  0.269,0.702,  55.674
 0.094,  0.269,0.724,  58.002
 0.096,  0.269,0.745,  60.232
 0.098,  0.269,0.764,  62.364
 0.100,  0.269,0.781,  64.396
 0.102,  0.269,0.797,  66.330
 0.104,  0.269,0.813,  68.166
 0.106,  0.269,0.827,  69.906
 0.108,  0.269,0.840,  71.551
 0.110,  0.269,0.852,  73.105
 0.112,  0.269,0.863,  74.570
 0.114,  0.269,0.874,  75.948
 0.116,  0.269,0.883,  77.245
 0.118,  0.269,0.892,  78.462
 0.120,  0.269,0.900,  79.603
 0.122,  0.269,0.908,  80.673
 0.124,  0.269,0.915,  81.674
 0.126,  0.269,0.921,  82.609
 0.128,  0.269,0.927,  83.483
 0.130,  0.269,0.933,  84.299
 0.132,  0.269,0.938,  85.060
 0.134,  0.269,0.943,  85.769
 0.136,  0.269,0.947,  86.430
 0.138,  0.269,0.951,  87.045
 0.140,  0.269,0.955,  87.617
 0.142,  0.269,0.958,  88.149
 0.144,  0.269,0.962,  88.643
 0.146,  0.269,0.965,  89.102
 0.148,  0.269,0.967,  89.528
 0.150,  0.269,0.970,  89.924
 0.152,  0.269,0.972,  90.291
 0.154,  0.269,0.974,  90.631
 0.156,  0.269,0.976,  90.947
 0.158,  0.269,0.978,  91.239
 0.160,  0.269,0.980,  91.510
 0.162,  0.269,0.981,  91.761
 0.164,  0.269,0.983,  91.994
