Time(s),Force(N)
 0.000,   0.000
 0.002,   0.000
 0.004,   0.000
 0.006,   0.000
 0.008,   0.000
 0.010,   0.000
 0.012,   0.000
 0.014,   0.000
 0.016,   0.000
 0.018,   0.000
 0.020,   0.000
 0.022,   0.000
 0.024,   0.000
 0.026,   0.000
 0.028,   0.000
 0.030,   0.000
 0.032,   0.000
 0.034,   0.000
 0.036,   0.000
 0.038,   0.000
 0.040,   0.000
 0.042,   0.000
 0.044,   0.000
 0.046,   0.000
 0.048,   0.000
 0.050,   0.000
 0.052,   0.000
 0.054,   0.000
 0.056,   0.000
 0.058,   0.000
 0.060,   0.000
 0.062,   0.000
 0.064,   0.000
 0.066,   0.000
 0.068,   0.000
 0.070,   0.000
 0.072,   0.000
 0.074,   0.000
 0.076,   0.000
 0.078,   0.000
 0.080,   0.000
 0.082,   0.000
 0.084,   0.000
 0.086,   0.000
 0.088,   0.000
 0.090,   0.000
 0.092,   0.000
 0.094,   0.000
 0.096,   0.000
 0.098,   0.000
 0.100,   0.000
 0.102,   0.026
 0.104,   0.098
 0.106,   0.198
 0.108,   0.248
 0.110,   0.248
 0.112,   0.238
 0.114,   0.229
 0.116,   0.220
 0.118,   0.211
 0.120,   0.203
 0.122,   0.195
 0.124,   0.188
 0.126,   0.180
 0.128,   0.173
 0.130,   0.166
 0.132,   0.160
 0.134,   0.154
 0.136,   0.148
 0.138,   0.142
 0.140,   0.136
 0.142,   0.131
 0.144,   0.126
 0.146,   0.121
 0.148,   0.116
 0.150,   0.112
 0.152,   0.107
 0.154,   0.103
 0.156,   0.099
 0.158,   0.095
 0.160,   0.091
 0.162,   0.088
 0.164,   0.084
 0.166,   0.081
 0.168,   0.078
 0.170,   0.075
 0.172,   0.072
 0.174,   0.069
 0.176,   0.066
 0.178,   0.064
 0.180,   0.061
 0.182,   0.059
 0.184,   0.056
 0.186,   0.054
 0.188,   0.052
 0.190,   0.050
 0.192,   0.048
 0.194,   0.046
 0.196,   0.044
 0.198,   0.043
 0.200,   0.041
 0.202,   0.039
 0.204,   0.038
 0.206,   0.036
 0.208,   0.035
 0.210,   0.064
 0.212,   0.140
 0.214,   0.233
 0.216,   0.270
 0.218,   0.266
 0.220,   0.255
 0.222,   0.245
 0.224,   0.236
 0.226,   0.226
 0.228,   0.218
 0.230,   0.209
 0.232,   0.201
 0.234,   0.193
 0.236,   0.185
 0.238,   0.178
 0.240,   0.171
 0.242,   0.164
 0.244,   0.158
 0.246,   0.152
 0.248,   0.146
 0.250,   0.140
 0.252,   0.135
 0.254,   0.129
 0.256,   0.124
 0.258,   0.119
 0.260,   0.115
 0.262,   0.110
 0.264,   0.106
 0.266,   0.102
 0.268,   0.100
 0.270,   0.135
 0.272,   0.216
 0.274,   0.291
 0.276,   0.308
 0.278,   0.298
 0.280,   0.286
 0.282,   0.275
 0.284,   0.264
 0.286,   0.254
 0.288,   0.244
 0.290,   0.234
 0.292,   0.225
 0.294,   0.216
 0.296,   0.208
 0.298,   0.200
 0.300,   0.192
 0.302,   0.184
 0.304,   0.177
 0.306,   0.170
 0.308,   0.164
 0.310,   0.157
 0.312,   0.151
 0.314,   0.145
 0.316,   0.144
 0.318,   0.182
 0.320,   0.265
 0.322,   0.325
 0.324,   0.332
 0.326,   0.320
 0.328,   0.307
 0.330,   0.295
 0.332,   0.284
 0.334,   0.273
 0.336,   0.262
 0.338,   0.252
 0.340,   0.242
 0.342,   0.232
 0.344,   0.223
 0.346,   0.214
 0.348,   0.206
 0.350,   0.198
 0.352,   0.190
 0.354,   0.183
 0.356,   0.176
 0.358,   0.185
 0.360,   0.240
 0.362,   0.322
 0.364,   0.353
 0.366,   0.346
 0.368,   0.333
 0.370,   0.320
 0.372,   0.307
 0.374,   0.295
 0.376,   0.284
 0.378,   0.272
 0.380,   0.262
 0.382,   0.252
 0.384,   0.242
 0.386,   0.232
 0.388,   0.223
 0.390,   0.214
 0.392,   0.206
 0.394,   0.202
 0.396,   0.236
 0.398,   0.314
 0.400,   0.366
 0.402,   0.367
 0.404,   0.353
 0.406,   0.340
 0.408,   0.326
 0.410,   0.313
 0.412,   0.301
 0.414,   0.289
 0.416,   0.278
 0.418,   0.267
 0.420,   0.257
 0.422,   0.247
 0.424,   0.237
 0.426,   0.228
 0.428,   0.227
 0.430,   0.268
 0.432,   0.346
 0.434,   0.383
 0.436,   0.378
 0.438,   0.364
 0.440,   0.349
 0.442,   0.336
 0.444,   0.323
 0.446,   0.310
 0.448,   0.298
 0.450,   0.286
 0.452,   0.275
 0.454,   0.264
 0.456,   0.254
 0.458,   0.245
 0.460,   0.257
 0.462,   0.316
 0.464,   0.383
 0.466,   0.396
 0.468,   0.384
 0.470,   0.369
 0.472,   0.354
 0.474,   0.341
 0.476,   0.327
 0.478,   0.314
 0.480,   0.302
 0.482,   0.290
 0.484,   0.279
 0.486,   0.268
 0.488,   0.262
 0.490,   0.292
 0.492,   0.365
 0.494,   0.406
 0.496,   0.403
 0.498,   0.388
 0.500,   0.373
 0.502,   0.358
 0.504,   0.344
 0.506,   0.331
 0.508,   0.318
 0.510,   0.305
 0.512,   0.293
 0.514,   0.282
 0.516,   0.280
 0.518,   0.320
 0.520,   0.392
 0.522,   0.418
 0.524,   0.410
 0.526,   0.394
 0.528,   0.378
 0.530,   0.364
 0.532,   0.349
 0.534,   0.336
 0.536,   0.322
 0.538,   0.310
 0.540,   0.298
 0.542,   0.293
 0.544,   0.328
 0.546,   0.399
 0.548,   0.428
 0.550,   0.420
 0.552,   0.404
 0.554,   0.388
 0.556,   0.373
 0.558,   0.358
 0.560,   0.344
 0.562,   0.331
 0.564,   0.318
 0.566,   0.307
 0.568,   0.318
 0.570,   0.376
 0.572,   0.431
 0.574,   0.434
 0.576,   0.420
 0.578,   0.403
 0.580,   0.387
 0.582,   0.372
 0.584,   0.358
 0.586,   0.344
 0.588,   0.330
 0.590,   0.319
 0.592,   0.331
 0.594,   0.390
 0.596,   0.441
 0.598,   0.442
 0.600,   0.427
 0.602,   0.410
 0.604,   0.394
 0.606,   0.378
 0.608,   0.364
 0.610,   0.349
 0.612,   0.336
 0.614,   0.331
 0.616,   0.366
 0.618,   0.432
