Time(s),Force(N)
 0.000,   0.000
 0.002,   0.000
 0.004,   0.000
 0.006,   0.000
 0.008,   0.000
 0.010,   0.000
 0.012,   0.000
 0.014,   0.000
 0.016,   0.000
 0.018,   0.000
 0.020,   0.000
 0.022,   0.000
 0.024,   0.000
 0.026,   0.000
 0.028,   0.000
 0.030,   0.000
 0.032,   0.000
 0.034,   0.000
 0.036,   0.000
 0.038,   0.000
 0.040,   0.000
 0.042,   0.000
 0.044,   0.000
 0.046,   0.000
 0.048,   0.000
 0.050,   0.000
 0.052,   0.000
 0.054,   0.000
 0.056,   0.000
 0.058,   0.000
 0.060,   0.000
 0.062,   0.000
 0.064,   0.000
 0.066,   0.000
 0.068,   0.000
 0.070,   0.000
 0.072,   0.000
 0.074,   0.000
 0.076,   0.000
 0.078,   0.000
 0.080,   0.000
 0.082,   0.000
 0.084,   0.000
 0.086,   0.000
 0.088,   0.000
 0.090,   0.000
 0.092,   0.000
 0.094,   0.000
 0.096,   0.000
 0.098,   0.000
 0.100,   0.000
 0.102,   0.070
 0.104,   0.249
 0.106,   0.464
 0.108,   0.509
 0.110,   0.489
 0.112,   0.458
 0.114,   0.428
 0.116,   0.400
 0.118,   0.375
 0.120,   0.350
 0.122,   0.328
 0.124,   0.307
 0.126,   0.287
 0.128,   0.268
 0.130,   0.251
 0.132,   0.235
 0.134,   0.220
 0.136,   0.206
 0.138,   0.192
 0.140,   0.180
 0.142,   0.168
 0.144,   0.157
 0.146,   0.147
 0.148,   0.138
 0.150,   0.129
 0.152,   0.121
 0.154,   0.113
 0.156,   0.106
 0.158,   0.099
 0.160,   0.092
 0.162,   0.086
 0.164,   0.081
 0.166,   0.076
 0.168,   0.071
 0.170,   0.066
 0.172,   0.062
 0.174,   0.058
 0.176,   0.054
 0.178,   0.051
 0.180,   0.047
 0.182,   0.044
 0.184,   0.042
 0.186,   0.039
 0.188,   0.036
 0.190,   0.034
 0.192,   0.032
 0.194,   0.030
 0.196,   0.028
 0.198,   0.026
 0.200,   0.024
 0.202,   0.028
 0.204,   0.129
 0.206,   0.328
 0.208,   0.501
 0.210,   0.511
 0.212,   0.484
 0.214,   0.453
 0.216,   0.424
 0.218,   0.397
 0.220,   0.371
 0.222,   0.347
 0.224,   0.325
 0.226,   0.304
 0.228,   0.284
 0.230,   0.266
 0.232,   0.249
 0.234,   0.233
 0.236,   0.218
 0.238,   0.204
 0.240,   0.190
 0.242,   0.178
 0.244,   0.167
 0.246,   0.156
 0.248,   0.146
 0.250,   0.136
 0.252,   0.128
 0.254,   0.119
 0.256,   0.112
 0.258,   0.105
 0.260,   0.098
 0.262,   0.121
 0.264,   0.259
 0.266,   0.469
 0.268,   0.533
 0.270,   0.516
 0.272,   0.483
 0.274,   0.452
 0.276,   0.423
 0.278,   0.395
 0.280,   0.370
 0.282,   0.346
 0.284,   0.324
 0.286,   0.303
 0.288,   0.283
 0.290,   0.265
 0.292,   0.248
 0.294,   0.232
 0.296,   0.217
 0.298,   0.203
 0.300,   0.190
 0.302,   0.178
 0.304,   0.166
 0.306,   0.156
 0.308,   0.146
 0.310,   0.185
 0.312,   0.341
 0.314,   0.522
 0.316,   0.543
 0.318,   0.518
 0.320,   0.485
 0.322,   0.453
 0.324,   0.424
 0.326,   0.397
 0.328,   0.371
 0.330,   0.347
 0.332,   0.325
 0.334,   0.304
 0.336,   0.284
 0.338,   0.266
 0.340,   0.249
 0.342,   0.233
 0.344,   0.218
 0.346,   0.204
 0.348,   0.191
 0.350,   0.185
 0.352,   0.276
 0.354,   0.467
 0.356,   0.556
 0.358,   0.543
 0.360,   0.510
 0.362,   0.477
 0.364,   0.446
 0.366,   0.417
 0.368,   0.390
 0.370,   0.365
 0.372,   0.342
 0.374,   0.320
 0.376,   0.299
 0.378,   0.280
 0.380,   0.262
 0.382,   0.245
 0.384,   0.229
 0.386,   0.215
 0.388,   0.256
 0.390,   0.412
 0.392,   0.558
 0.394,   0.559
 0.396,   0.529
 0.398,   0.495
 0.400,   0.463
 0.402,   0.433
 0.404,   0.406
 0.406,   0.379
 0.408,   0.355
 0.410,   0.332
 0.412,   0.311
 0.414,   0.291
 0.416,   0.272
 0.418,   0.254
 0.420,   0.242
 0.422,   0.303
 0.424,   0.476
 0.426,   0.574
 0.428,   0.561
 0.430,   0.528
 0.432,   0.494
 0.434,   0.462
 0.436,   0.432
 0.438,   0.404
 0.440,   0.378
 0.442,   0.354
 0.444,   0.331
 0.446,   0.310
 0.448,   0.290
 0.450,   0.271
 0.452,   0.274
 0.454,   0.386
 0.456,   0.555
 0.458,   0.578
 0.460,   0.554
 0.462,   0.518
 0.464,   0.485
 0.466,   0.453
 0.468,   0.424
 0.470,   0.397
 0.472,   0.371
 0.474,   0.347
 0.476,   0.325
 0.478,   0.304
 0.480,   0.287
 0.482,   0.325
 0.484,   0.480
 0.486,   0.587
 0.488,   0.577
 0.490,   0.543
 0.492,   0.508
 0.494,   0.475
 0.496,   0.445
 0.498,   0.416
 0.500,   0.389
 0.502,   0.364
 0.504,   0.341
 0.506,   0.319
 0.508,   0.305
 0.510,   0.369
 0.512,   0.536
 0.514,   0.593
 0.516,   0.575
 0.518,   0.539
 0.520,   0.504
 0.522,   0.472
 0.524,   0.441
 0.526,   0.413
 0.528,   0.386
 0.530,   0.361
 0.532,   0.338
 0.534,   0.322
 0.536,   0.375
 0.538,   0.537
 0.540,   0.599
 0.542,   0.582
 0.544,   0.546
 0.546,   0.511
 0.548,   0.478
 0.550,   0.447
 0.552,   0.418
 0.554,   0.391
 0.556,   0.366
 0.558,   0.343
 0.560,   0.348
 0.562,   0.464
 0.564,   0.599
 0.566,   0.598
 0.568,   0.567
 0.570,   0.531
 0.572,   0.497
 0.574,   0.465
 0.576,   0.435
 0.578,   0.407
 0.580,   0.380
 0.582,   0.357
 0.584,   0.364
 0.586,   0.483
 0.588,   0.607
 0.590,   0.601
 0.592,   0.569
 0.594,   0.532
 0.596,   0.498
 0.598,   0.466
 0.600,   0.436
 0.602,   0.408
 0.604,   0.382
 0.606,   0.365
 0.608,   0.421
 0.610,   0.577
 0.612,   0.614
 0.614,   0.592
 0.616,   0.554
 0.618,   0.518
