Time(s),Force(N)
 0.000,   0.000
 0.002,   0.000
 0.004,   0.000
 0.006,   0.000
 0.008,   0.000
 0.010,   0.000
 0.012,   0.000
 0.014,   0.000
 0.016,   0.000
 0.018,   0.000
 0.020,   0.000
 0.022,   0.000
 0.024,   0.000
 0.026,   0.000
 0.028,   0.000
 0.030,   0.000
 0.032,   0.000
 0.034,   0.000
 0.036,   0.000
 0.038,   0.000
 0.040,   0.000
 0.042,   0.000
 0.044,   0.000
 0.046,   0.000
 0.048,   0.000
 0.050,   0.000
 0.052,   0.000
 0.054,   0.000
 0.056,   0.000
 0.058,   0.000
 0.060,   0.000
 0.062,   0.000
 0.064,   0.000
 0.066,   0.000
 0.068,   0.000
 0.070,   0.000
 0.072,   0.000
 0.074,   0.000
 0.076,   0.000
 0.078,   0.000
 0.080,   0.000
 0.082,   0.000
 0.084,   0.000
 0.086,   0.000
 0.088,   0.000
 0.090,   0.000
 0.092,   0.000
 0.094,   0.000
 0.096,   0.000
 0.098,   0.000
 0.100,   0.000
 0.102,   0.183
 0.104,   0.648
 0.106,   1.206
 0.108,   1.324
 0.110,   1.272
 0.112,   1.190
 0.114,   1.113
 0.116,   1.041
 0.118,   0.974
 0.120,   0.911
 0.122,   0.852
 0.124,   0.797
 0.126,   0.746
 0.128,   0.698
 0.130,   0.653
 0.132,   0.611
 0.134,   0.571
 0.136,   0.535
 0.138,   0.500
 0.140,   0.468
 0.142,   0.438
 0.144,   0.409
 0.146,   0.383
 0.148,   0.358
 0.150,   0.335
 0.152,   0.314
 0.154,   0.293
 0.156,   0.274
 0.158,   0.257
 0.160,   0.240
 0.162,   0.225
 0.164,   0.210
 0.166,   0.197
 0.168,   0.184
 0.170,   0.172
 0.172,   0.161
 0.174,   0.151
 0.176,   0.141
 0.178,   0.132
 0.180,   0.123
 0.182,   0.115
 0.184,   0.108
 0.186,   0.101
 0.188,   0.094
 0.190,   0.088
 0.192,   0.083
 0.194,   0.077
 0.196,   0.072
 0.198,   0.068
 0.200,   0.063
 0.202,   0.059
 0.204,   0.055
 0.206,   0.235
 0.208,   0.699
 0.210,   1.238
 0.212,   1.336
 0.214,   1.280
 0.216,   1.197
 0.218,   1.120
 0.220,   1.048
 0.222,   0.980
 0.224,   0.917
 0.226,   0.858
 0.228,   0.803
 0.230,   0.751
 0.232,   0.702
 0.234,   0.657
 0.236,   0.615
 0.238,   0.575
 0.240,   0.538
 0.242,   0.503
 0.244,   0.471
 0.246,   0.440
 0.248,   0.412
 0.250,   0.385
 0.252,   0.361
 0.254,   0.337
 0.256,   0.316
 0.258,   0.295
 0.260,   0.276
 0.262,   0.258
 0.264,   0.257
 0.266,   0.510
 0.268,   1.023
 0.270,   1.376
 0.272,   1.364
 0.274,   1.286
 0.276,   1.203
 0.278,   1.126
 0.280,   1.053
 0.282,   0.985
 0.284,   0.922
 0.286,   0.862
 0.288,   0.807
 0.290,   0.755
 0.292,   0.706
 0.294,   0.660
 0.296,   0.618
 0.298,   0.578
 0.300,   0.541
 0.302,   0.506
 0.304,   0.473
 0.306,   0.443
 0.308,   0.414
 0.310,   0.387
 0.312,   0.396
 0.314,   0.685
 0.316,   1.207
 0.318,   1.419
 0.320,   1.381
 0.322,   1.295
 0.324,   1.212
 0.326,   1.133
 0.328,   1.060
 0.330,   0.992
 0.332,   0.928
 0.334,   0.868
 0.336,   0.812
 0.338,   0.760
 0.340,   0.711
 0.342,   0.665
 0.344,   0.622
 0.346,   0.582
 0.348,   0.544
 0.350,   0.509
 0.352,   0.477
 0.354,   0.571
 0.356,   0.967
 0.358,   1.404
 0.360,   1.436
 0.362,   1.366
 0.364,   1.278
 0.366,   1.195
 0.368,   1.118
 0.370,   1.046
 0.372,   0.979
 0.374,   0.916
 0.376,   0.857
 0.378,   0.801
 0.380,   0.750
 0.382,   0.701
 0.384,   0.656
 0.386,   0.614
 0.388,   0.574
 0.390,   0.573
 0.392,   0.846
 0.394,   1.333
 0.396,   1.469
 0.398,   1.420
 0.400,   1.329
 0.402,   1.244
 0.404,   1.163
 0.406,   1.088
 0.408,   1.018
 0.410,   0.952
 0.412,   0.891
 0.414,   0.834
 0.416,   0.780
 0.418,   0.730
 0.420,   0.682
 0.422,   0.638
 0.424,   0.665
 0.426,   0.986
 0.428,   1.430
 0.430,   1.484
 0.432,   1.419
 0.434,   1.327
 0.436,   1.242
 0.438,   1.162
 0.440,   1.087
 0.442,   1.017
 0.444,   0.951
 0.446,   0.890
 0.448,   0.832
 0.450,   0.779
 0.452,   0.728
 0.454,   0.690
 0.456,   0.818
 0.458,   1.243
 0.460,   1.510
 0.462,   1.480
 0.464,   1.393
 0.466,   1.303
 0.468,   1.219
 0.470,   1.140
 0.472,   1.067
 0.474,   0.998
 0.476,   0.934
 0.478,   0.873
 0.480,   0.817
 0.482,   0.764
 0.484,   0.752
 0.486,   1.006
 0.488,   1.447
 0.490,   1.523
 0.492,   1.462
 0.494,   1.368
 0.496,   1.280
 0.498,   1.197
 0.500,   1.120
 0.502,   1.048
 0.504,   0.980
 0.506,   0.917
 0.508,   0.858
 0.510,   0.804
 0.512,   0.827
 0.514,   1.143
 0.516,   1.520
 0.518,   1.529
 0.520,   1.452
 0.522,   1.358
 0.524,   1.271
 0.526,   1.189
 0.528,   1.112
 0.530,   1.040
 0.532,   0.973
 0.534,   0.911
 0.536,   0.852
 0.538,   0.857
 0.540,   1.144
 0.542,   1.528
 0.544,   1.545
 0.546,   1.471
 0.548,   1.376
 0.550,   1.287
 0.552,   1.204
 0.554,   1.126
 0.556,   1.054
 0.558,   0.986
 0.560,   0.922
 0.562,   0.878
 0.564,   1.004
 0.566,   1.417
 0.568,   1.572
 0.570,   1.526
 0.572,   1.431
 0.574,   1.339
 0.576,   1.252
 0.578,   1.172
 0.580,   1.096
 0.582,   1.025
 0.584,   0.959
 0.586,   0.915
 0.588,   1.048
 0.590,   1.456
 0.592,   1.584
 0.594,   1.533
 0.596,   1.437
 0.598,   1.344
 0.600,   1.257
 0.602,   1.176
 0.604,   1.100
 0.606,   1.029
 0.608,   0.965
 0.610,   0.971
 0.612,   1.260
 0.614,   1.588
 0.616,   1.578
 0.618,   1.495
