Frame,KneeAng
0,2.51
1,2.91
2,3.30
3,3.70
4,4.17
5,4.70
6,5.30
7,5.95
8,6.66
9,7.42
10,8.24
11,9.10
12,10.00
13,10.92
14,11.87
15,12.85
16,13.86
17,14.92
18,16.02
19,17.15
20,18.30
21,19.46
22,20.60
23,21.74
24,22.84
25,23.92
26,24.95
27,25.94
28,26.90
29,27.85
30,28.79
31,29.75
32,30.72
33,31.71
34,32.69
35,33.65
36,34.58
37,35.49
38,36.40
39,37.31
40,38.22
41,39.14
42,40.05
43,40.95
44,41.84
45,42.72
46,43.56
47,44.38
48,45.18
49,45.96
50,46.70
51,47.43
52,48.11
53,48.74
54,49.33
55,49.88
56,50.40
57,50.91
58,51.42
59,51.92
60,52.41
61,52.88
62,53.34
63,53.81
64,54.30
65,54.81
66,55.31
67,55.79
68,56.25
69,56.67
70,57.05
71,57.38
72,57.67
73,57.92
74,58.15
75,58.36
76,58.58
77,58.81
78,59.07
79,59.35
80,59.64
81,59.94
82,60.25
83,60.57
84,60.88
85,61.19
86,61.49
87,61.82
88,62.22
89,62.69
90,63.18
91,63.68
92,64.19
93,64.75
94,65.36
95,66.06
96,66.82
97,67.65
98,68.52
99,69.41
100,70.26
101,71.04
102,71.71
103,72.25
104,72.64
105,72.89
106,72.95
107,72.80
108,72.37
109,71.65
110,70.67
111,69.45
112,67.99
113,66.35
114,64.53
115,62.51
116,60.26
117,57.72
118,54.88
119,51.74
120,48.27
121,44.38
122,39.85
123,34.34
124,27.48
125,19.35
126,10.71
127,2.51
128,-4.09
129,-7.85
130,-8.80
131,-8.04
132,-6.64
133,-5.29
134,-4.28
135,-3.69
136,-3.37
137,-3.13
138,-2.88
139,-2.61
140,-2.45
141,-2.47
142,-2.66
143,-2.99
144,-3.39
145,-3.82
146,-4.24
147,-4.58
148,-4.77
149,-4.76
150,-4.53
151,-4.12
152,-3.56
153,-2.91
154,-2.24
155,-1.61
156,-1.10
157,-0.74
158,-0.52
159,-0.39
160,-0.33
161,-0.29
162,-0.26
163,-0.21
164,-0.14
165,-0.03
166,0.10
167,0.26
168,0.44
169,0.65
170,0.90
171,1.21
172,1.58
173,2.02
174,2.53
175,3.11
176,3.74
177,4.38
178,4.97
179,5.51
180,6.23
181,7.76
182,10.90
183,15.78
184,21.71
185,27.71
186,32.68
187,35.91
188,38.03
189,40.14
190,42.99
191,47.33
192,53.39
193,59.61
194,63.94
195,65.81
196,65.86
197,64.83
198,63.19
199,61.73
200,61.45
201,62.55
202,64.44
203,66.54
204,68.49
205,69.98
206,70.86
207,71.14
208,70.91
209,70.30
210,69.48
211,68.66
212,68.02
213,67.68
214,67.69
215,68.04
216,68.64
217,69.37
218,70.06
219,70.60
220,70.91
221,70.97
222,70.82
223,70.53
224,70.17
225,69.82
226,69.49
227,69.18
228,68.88
229,68.53
230,68.11
231,67.59
232,66.98
233,66.28
234,65.48
235,64.61
236,63.67
237,62.66
238,61.61
239,60.51
240,59.36
241,58.17
242,56.92
243,55.62
244,54.27
245,52.85
246,51.38
247,49.87
248,48.33
249,46.75
250,45.15
251,43.55
252,41.94
253,40.32
254,38.69
255,37.04
256,35.39
257,33.73
258,32.07
259,30.41
260,28.76
261,27.10
262,25.45
263,23.79
264,22.13
265,20.46
266,18.77
267,17.06
268,15.34
269,13.63
270,11.94
271,10.30
272,8.71
273,7.21
274,5.81
275,4.51
276,3.31
277,2.23
278,1.26
279,0.42
280,-0.30
281,-0.89
282,-1.34
283,-1.67
284,-1.88
285,-2.00
286,-2.02
287,-1.95
288,-1.79
