Frame,KNEX,KNEY,ANKX,ANKY,HEEX,HEEY,TOEX,TOEY
0,0.2223,0.4508,0.2143,0.091,0.1547,0.0347,0.3026,0.0633
1,0.2224,0.4508,0.2144,0.091,0.1547,0.0347,0.3026,0.0633
2,0.2224,0.4506,0.2144,0.0908,0.1547,0.0347,0.3026,0.0633
3,0.2223,0.4506,0.2143,0.0908,0.1547,0.0347,0.3026,0.0632
4,0.2224,0.4506,0.2144,0.0908,0.1547,0.0347,0.3026,0.0633
5,0.2223,0.4508,0.2144,0.091,0.1547,0.0347,0.3026,0.0633
6,0.2223,0.4508,0.2143,0.091,0.1547,0.0347,0.3026,0.0633
7,0.2224,0.4506,0.2144,0.0908,0.1547,0.0347,0.3026,0.0633
8,0.2223,0.4508,0.2143,0.091,0.1547,0.0347,0.3026,0.0633
9,0.2224,0.4508,0.2144,0.091,0.1547,0.0347,0.3026,0.0633
10,0.2224,0.4508,0.2144,0.091,0.1547,0.0347,0.3026,0.0632
11,0.2223,0.4508,0.2144,0.091,0.1547,0.0347,0.3026,0.0633
12,0.2223,0.4506,0.2143,0.0908,0.1547,0.0347,0.3026,0.0633
13,0.2223,0.4508,0.2144,0.091,0.1547,0.0347,0.3026,0.0633
14,0.2223,0.4508,0.2143,0.091,0.1547,0.0347,0.3026,0.0633
15,0.2223,0.4508,0.2144,0.091,0.1547,0.0347,0.3026,0.0633
16,0.2224,0.4508,0.2143,0.091,0.1547,0.0347,0.3026,0.0632
17,0.2223,0.4508,0.2143,0.091,0.1547,0.0347,0.3026,0.0633
18,0.2223,0.4506,0.2143,0.0908,0.1547,0.0347,0.3026,0.0633
19,0.2223,0.4508,0.2143,0.091,0.1547,0.0347,0.3026,0.0633
20,0.2223,0.4508,0.2143,0.091,0.1547,0.0347,0.3026,0.0633
21,0.2223,0.4508,0.2143,0.091,0.1547,0.0347,0.3026,0.0633
22,0.2223,0.4508,0.2143,0.091,0.1547,0.0347,0.3026,0.0632
23,0.2223,0.4506,0.2143,0.0908,0.1547,0.0347,0.3026,0.0633
24,0.2223,0.4508,0.2143,0.091,0.1547,0.0347,0.3026,0.0632
25,0.2223,0.4508,0.2143,0.091,0.1547,0.0347,0.3026,0.0632
26,0.2225,0.4508,0.2145,0.091,0.1547,0.0347,0.3026,0.0633
27,0.2225,0.4508,0.2145,0.091,0.1547,0.0347,0.3026,0.0632
28,0.2225,0.4506,0.2145,0.0908,0.1547,0.0347,0.3026,0.0633
