Sample,FX,FY,FZ,MX,MY,MZ
0,-0.029488,0.075047,0.707248,0.097355,-0.090442,0.041063
1,-0.030772,0.073850,0.708448,0.096854,-0.089758,0.039157
2,-0.029870,0.069814,0.710492,0.095153,-0.088227,0.037085
3,-0.027944,0.065792,0.711979,0.093748,-0.086403,0.035732
4,-0.025945,0.063832,0.712008,0.093536,-0.085214,0.036020
5,-0.023987,0.063931,0.711418,0.093992,-0.085032,0.037299
6,-0.021822,0.064760,0.711426,0.094101,-0.085483,0.038244
7,-0.020613,0.065947,0.711533,0.094079,-0.086358,0.038685
8,-0.022006,0.068006,0.710518,0.094934,-0.087734,0.039200
9,-0.025300,0.070428,0.708562,0.096763,-0.089183,0.039696
10,-0.027990,0.071970,0.706826,0.098781,-0.090080,0.039796
11,-0.028800,0.072392,0.705888,0.100377,-0.090553,0.039909
12,-0.028095,0.072175,0.705844,0.100940,-0.090836,0.040509
13,-0.026409,0.071294,0.707084,0.099541,-0.090133,0.040839
14,-0.024534,0.069694,0.709524,0.096188,-0.087741,0.039809
15,-0.023740,0.068422,0.711649,0.092829,-0.084805,0.037927
16,-0.024369,0.068669,0.711930,0.091526,-0.083314,0.036707
17,-0.025226,0.069922,0.710570,0.092171,-0.083914,0.036773
18,-0.025267,0.070842,0.708583,0.093515,-0.085850,0.038026
19,-0.025098,0.071292,0.706513,0.095198,-0.088186,0.040426
20,-0.025884,0.071805,0.704953,0.097207,-0.090166,0.043244
21,-0.027459,0.072129,0.704458,0.098791,-0.091084,0.044698
22,-0.028843,0.071893,0.704421,0.099352,-0.090634,0.043713
23,-0.029567,0.071532,0.703760,0.099306,-0.089140,0.041377
24,-0.029228,0.071432,0.702717,0.098955,-0.087217,0.039569
25,-0.027219,0.071319,0.702560,0.097699,-0.085624,0.038785
26,-0.023994,0.070934,0.703789,0.095359,-0.085305,0.038539
27,-0.021507,0.070489,0.705580,0.093146,-0.086722,0.038868
28,-0.021373,0.070177,0.706839,0.092312,-0.088850,0.039716
29,-0.023179,0.069957,0.707037,0.092945,-0.089777,0.040239
30,-0.025453,0.070209,0.705977,0.094756,-0.088972,0.040315
31,-0.027322,0.071438,0.703788,0.097410,-0.088022,0.040919
32,-0.028365,0.073025,0.701466,0.099797,-0.088455,0.042257
33,-0.028148,0.073692,0.700441,0.100737,-0.089895,0.043317
34,-0.026958,0.073101,0.701111,0.100332,-0.091024,0.043279
35,-0.025823,0.071775,0.702535,0.099554,-0.091083,0.042141
36,-0.025092,0.070070,0.703675,0.098796,-0.089833,0.040196
37,-0.024235,0.068304,0.704113,0.097632,-0.087442,0.037979
38,-0.023394,0.067240,0.703630,0.096043,-0.085098,0.036745
39,-0.023391,0.067547,0.702230,0.095008,-0.084366,0.037710
40,-0.024125,0.068937,0.700760,0.095284,-0.085446,0.040300
41,-0.024853,0.070425,0.700097,0.096517,-0.087065,0.042453
42,-0.025693,0.071541,0.699741,0.097943,-0.087950,0.043036
43,-0.026987,0.072549,0.698603,0.098983,-0.087878,0.042521
44,-0.027922,0.073495,0.696834,0.099120,-0.087419,0.041488
45,-0.027518,0.073947,0.695500,0.098086,-0.086980,0.040196
46,-0.026177,0.073599,0.695076,0.096211,-0.086646,0.039271
47,-0.025041,0.072364,0.695416,0.094215,-0.086464,0.039180
48,-0.024735,0.070264,0.696397,0.092630,-0.086100,0.039410
49,-0.025279,0.067876,0.697618,0.091664,-0.085163,0.039342
50,-0.026431,0.066565,0.697986,0.091686,-0.084245,0.039319
51,-0.027685,0.067366,0.696545,0.093022,-0.084363,0.039861
52,-0.028332,0.069706,0.693767,0.095058,-0.085543,0.040663
53,-0.028213,0.072090,0.691291,0.096817,-0.087002,0.041339
54,-0.028172,0.073497,0.690220,0.098158,-0.088057,0.042241
55,-0.028814,0.073332,0.690285,0.099154,-0.088110,0.043677
56,-0.029365,0.071294,0.690580,0.099038,-0.086660,0.044833
57,-0.028876,0.068353,0.690389,0.097079,-0.083999,0.044510
58,-0.027511,0.066520,0.689520,0.094081,-0.081488,0.042957
59,-0.025693,0.066729,0.688475,0.091912,-0.080518,0.041470
60,-0.023568,0.067864,0.688026,0.091466,-0.081227,0.040380
61,-0.021965,0.068451,0.688205,0.092198,-0.082642,0.039238
62,-0.022117,0.068536,0.688116,0.093435,-0.083675,0.038270
63,-0.023797,0.069137,0.687200,0.094587,-0.083676,0.037853
64,-0.025268,0.070568,0.685924,0.094839,-0.082717,0.037659
65,-0.025561,0.072192,0.684809,0.094222,-0.081714,0.037651
66,-0.025223,0.073261,0.683972,0.093821,-0.081688,0.038546
67,-0.024731,0.073174,0.683868,0.094126,-0.082547,0.040247
68,-0.023937,0.071491,0.685012,0.094593,-0.083103,0.041413
69,-0.023157,0.068788,0.686616,0.094661,-0.082545,0.041522
70,-0.023285,0.066813,0.686867,0.094083,-0.081255,0.041548
71,-0.024498,0.066749,0.685158,0.092784,-0.079980,0.041933
72,-0.025887,0.068052,0.682793,0.091163,-0.079065,0.041832
73,-0.026681,0.069539,0.681091,0.090266,-0.078946,0.040824
74,-0.026881,0.070417,0.680282,0.091029,-0.080154,0.039691
75,-0.026623,0.070017,0.680325,0.093051,-0.082032,0.039024
76,-0.026077,0.068238,0.681018,0.094690,-0.082855,0.038632
77,-0.025880,0.066434,0.681370,0.094796,-0.081929,0.038608
78,-0.026567,0.066246,0.680387,0.093658,-0.080244,0.039080
79,-0.027827,0.067583,0.678365,0.092165,-0.078948,0.039069
80,-0.029054,0.068950,0.676509,0.091044,-0.078451,0.037818
81,-0.030062,0.069372,0.675723,0.090950,-0.078788,0.036632
82,-0.030570,0.068914,0.676186,0.091940,-0.079586,0.037234
83,-0.029964,0.067939,0.677476,0.092742,-0.079941,0.039192
84,-0.028378,0.067116,0.678711,0.091967,-0.079458,0.040737
85,-0.026877,0.067411,0.679008,0.090127,-0.079018,0.041167
86,-0.026173,0.068894,0.678264,0.089052,-0.079441,0.040990
87,-0.026087,0.070276,0.677240,0.089241,-0.080136,0.040336
88,-0.026110,0.070326,0.676605,0.089652,-0.080141,0.039004
89,-0.025999,0.069034,0.676299,0.089903,-0.079468,0.037899
90,-0.025793,0.067187,0.676131,0.090162,-0.078579,0.038239
91,-0.025523,0.065609,0.676346,0.089725,-0.077628,0.039439
92,-0.025411,0.065033,0.676953,0.088328,-0.076991,0.040007
93,-0.026022,0.065915,0.677040,0.087531,-0.077488,0.039897
94,-0.027411,0.067746,0.675741,0.088689,-0.079142,0.039813
95,-0.028606,0.069037,0.673631,0.090766,-0.080622,0.039537
96,-0.028810,0.068801,0.671943,0.091808,-0.080862,0.038892
