Frame,ANKX,ANKY,FTANG,FTACC,COMX,COMY,ACCX,ACCY,FX,FY,COPX
0,0.2409,0.091,0.00118,0,0.2817,0.0539,0,0,5.95,300.88,0.2752
1,0.241,0.091,0.00118,0,0.2817,0.0539,0,0,6.34,299.7,0.2748
2,0.2411,0.0911,0.00118,0,0.2817,0.0539,0,0,6.77,298.6,0.2744
3,0.2412,0.0911,0.00118,0,0.2817,0.0539,0,0,6.97,297.44,0.2741
4,0.2412,0.0911,0.00118,0,0.2817,0.0539,0,0,6.97,296.02,0.2738
5,0.2413,0.0911,0.00118,0,0.2817,0.0539,0,1.44,6.88,294,0.2741
6,0.2413,0.0911,0.00118,9.417,0.2817,0.054,0.1804,-0.9421,6.73,291.56,0.2744
7,0.2413,0.0911,0.00183,-9.417,0.2817,0.054,-0.1804,-0.4979,6.59,289.14,0.2748
8,0.2413,0.091,0.00183,-9.417,0.2817,0.054,-0.1804,-0.4979,6.42,286.99,0.2753
9,0.2414,0.0909,0.00118,18.835,0.2817,0.054,0.3609,-0.4441,6.23,285.15,0.276
10,0.2416,0.0908,0.00183,-18.835,0.2817,0.0539,-0.3609,1.8841,5.99,283.68,0.2767
11,0.2417,0.0908,0.00118,18.835,0.2817,0.054,0.3609,-0.4441,5.62,282.24,0.2773
12,0.2418,0.0907,0.00183,-9.417,0.2817,0.054,-0.1804,0.9421,5.13,280.77,0.278
13,0.2419,0.0907,0.00183,0,0.2817,0.0541,0,-1.44,4.76,279.2,0.2788
14,0.242,0.0906,0.00183,0,0.2817,0.0541,0,0,4.73,277.39,0.2795
15,0.2421,0.0905,0.00183,9.42,0.2817,0.0541,0.1799,0.4976,4.96,275.06,0.2801
16,0.2423,0.0904,0.00249,-7.626,0.2818,0.0542,-0.1457,-0.677,5.23,272.05,0.2807
17,0.2424,0.0903,0.00261,5.835,0.2818,0.0541,1.5509,-0.5839,5.39,268.75,0.2813
18,0.2426,0.0902,0.00314,1.796,0.2819,0.0541,0.0336,-0.1798,5.26,265.12,0.2818
19,0.2428,0.0901,0.0038,-7.643,0.282,0.054,-1.585,0.7648,4.85,261.27,0.2828
20,0.243,0.09,0.00392,5.863,0.282,0.054,1.5507,0.8532,4.26,257.14,0.2842
21,0.2432,0.0899,0.00445,-17.072,0.2821,0.0541,-1.7626,0.2686,3.48,253.06,0.2855
22,0.2434,0.0898,0.0038,18.853,0.2821,0.0541,0.3563,-0.4469,2.49,249.8,0.2869
23,0.2437,0.0896,0.00445,-9.427,0.2821,0.0542,-0.1781,-0.4965,1.46,247.81,0.2881
24,0.244,0.0894,0.00445,0,0.2821,0.0542,0,0,0.64,246.96,0.289
25,0.2442,0.0892,0.00445,0,0.2821,0.0542,0,0,0.07,247.49,0.2896
26,0.2445,0.089,0.00445,0,0.2821,0.0542,0,0,-0.35,249.49,0.2899
27,0.2447,0.0887,0.00445,9.429,0.2821,0.0542,0.1776,-0.9438,-0.52,252.25,0.2902
28,0.2449,0.0885,0.0051,-9.429,0.2821,0.0541,-0.1776,-0.4962,-0.36,254.52,0.2909
