Frame,AANK,WANK,RJM,RJFS,RJFC,WFOOT,WLEG
0,3.03,24.76,10.56,-5.60,293.43,0,-24.76
1,3.24,23.92,10.4,-6.00,292.25,0,-23.92
2,3.43,22.97,10.26,-6.43,291.15,0,-22.97
3,3.62,24.82,10.12,-6.63,289.99,0,-24.82
4,3.85,27.66,9.98,-6.63,288.57,0,-27.66
5,4.08,31.54,9.92,-6.54,285.46,0,-31.54
6,4.37,33.24,10.03,-6.26,284.83,2.25,-35.48
7,4.64,36.01,9.96,-6.21,282.07,2.25,-38.26
8,4.97,42.41,10.02,-6.04,279.92,-2.25,-40.16
9,5.35,41.1,10.22,-5.63,278.04,0,-41.1
10,5.66,44.98,10.07,-5.76,274.80,0,-44.98
11,6.1,47.91,10.35,-5.02,275.13,0,-47.91
12,6.46,46.72,10.27,-4.77,272.61,2.25,-48.97
13,6.87,50.97,10.48,-4.26,272.85,0,-50.97
14,7.31,52.74,10.53,-4.24,269.94,0,-52.74
15,7.75,52.5,10.63,-4.33,267.23,2.25,-54.75
16,8.18,54.08,10.62,-4.68,265.12,2.68,-56.76
17,8.65,57.47,10.65,-3.53,261.75,2.25,-59.72
18,9.14,57.67,10.59,-4.42,257.82,4.07,-61.74
19,9.62,60.16,10.58,-5.09,253.25,2.68,-62.84
20,10.14,62.62,10.64,-2.11,249.05,2.25,-64.87
21,10.66,66.22,10.69,-3.73,245.42,-0.43,-65.8
22,11.25,65.04,10.89,-1.30,242.69,0,-65.04
23,11.74,62.76,10.83,-0.52,240.74,2.25,-65.01
24,12.29,65.21,10.89,0.43,239.50,0,-65.21
25,12.83,62.61,10.96,1.00,240.03,0,-62.61
26,13.33,61.46,11.02,1.43,242.03,0,-61.46
27,13.85,59.43,11.22,1.75,245.51,2.25,-61.68
28,14.33,56.89,11.38,1.49,247.44,2.25,-59.14
29,14.8,57.14,11.56,1.39,246.54,2.25,-59.39
30,15.28,60.8,11.6,0.83,247.49,0.42,-61.23
31,15.82,61.22,11.82,2.16,246.98,0,-61.22
32,16.3,59.08,12.14,0.39,247.82,4.5,-63.58
33,16.8,60.9,12.2,3.46,245.90,2.67,-63.57
34,17.31,61.14,12.53,2.44,248.05,0,-61.14
35,17.82,57.97,12.77,4.49,249.89,2.25,-60.22
36,18.28,56.77,13.08,4.83,253.57,2.25,-59.02
37,18.77,57.52,13.4,5.26,256.24,0,-57.52
38,19.24,52.25,13.69,5.68,259.15,2.25,-54.51
39,19.64,51.36,13.8,5.84,259.51,2.25,-53.61
40,20.09,51.69,14.13,6.56,262.10,2.25,-53.94
41,20.5,51.68,14.31,8.30,266.18,2.25,-53.93
42,20.95,51.75,14.68,6.96,270.15,0.41,-52.16
43,21.36,48.14,14.92,9.54,274.37,2.25,-50.39
44,21.76,46.9,15.19,7.21,276.20,2.25,-49.15
45,22.14,42.97,15.54,8.53,278.54,2.67,-45.63
46,22.47,41.63,15.83,8.80,282.56,2.25,-43.88
47,22.84,42.26,16.12,9.46,285.85,0,-42.26
48,23.18,38.28,16.39,11.26,289.64,1.84,-40.12
49,23.47,35.26,16.67,9.43,290.28,2.25,-37.51
50,23.77,33.97,17.02,12.22,290.25,2.66,-36.64
51,24.04,30.87,17.43,10.65,290.97,4.51,-35.37
52,24.28,30.53,17.56,13.64,288.18,2.25,-32.79
53,24.55,28.4,17.9,12.33,288.08,2.25,-30.65
